Boađus: 15 667
» Sii vástidedje : « Mii ba das 	guoská 	midjiide ? #ILL Sem/Hum
Evaluerenbargu galgá 	guoskat 	sihke O97:ii ja S97:ii .
Mii 	guoská 	dássásašvuhtii , de mihkkege ii čájet ahte dássásašvuohta sámiid oahpahusas deattuhuvvošii .
Áirras Asbjørg Skåden ovddida ieŋas gaŋaldagas ollu beliid mat 	gusket 	oahpahussii oppalaččat ja oahpahussii erenoamáŋit Ofuohtas // Lulli-Tromssas .
Dán vuoro 	guoská 	dát Deanu gildii , man oktavuođas varraseamos logut čájehit ahte gielda massá dietnasiid ovtta ja guovtti miljon kruvnnu gaskka jos plánat šaddet duohtan dahkkot .
Sámediggeráđđi áigu vuos váidalit go Girko- , oahpahus- ja dutkandepartemeanta lea mearridan ahte sámi oahppoplána ii galgga 	guoskat 	priváhtaskuvllaide Deanus .
Dáin čielggadusain , ja dain meannudemiin , leat boahtán ovdan deaŧalaš mearkkašumit strategalaš beliid dáfus mat 	gusket 	sámi dutkama boahtteáigái .
Lea ollu jagiid leamaš stuorra váilevašvuohta go 	guoská 	politihkalaš barggu doaimmaheapmái Sámedikki ektui .
Sámedikki mielaš lea deaŧalaš čuovvulit barggu Sámi vuoigatvuođalávdegotti árvalusain Finnmárkku birra ja viidásit barggu mii šaddá 	guoskat 	eará árbevirolaš sámi guovlluide .
Boazoealáhus ii leat dán rádjai oŋŋon govttolaš oasi buhtadusain , ja dát 	guoská 	earenoamáŋit ekonomalaš vahágiidda go lea ollu bohccuid massán .
Dat 	guoská 	sisriikkalaš buvttadeapmái , riikka ieŋas boazodolliid dienasdássái , bohccobierggu márkanosiide , njuovahatstruktuvrii , bargosajiide guovllus gos leat uhccán ealáhusat , ja sápmelaččaid ovttasbargovejolašvuođaide rastá riikkarájiid .
Dasto leat servodat- ja kultuvrralaš bealit , ja dilálašvuohta 	guoskkašii 	ollu boazodolliide ja bearrašiidda .
Dá leat eavttuhusat main fuomášupmi lea divvojuvvon doaibmabijuide maid sáhttá čađahit viehka geahppasit ja maidda eai 	guoskka 	proseassat mat muđui leat jođus .
Sámedikki mielaš lea deaŧalaš čuovvulit barggu Sámi vuoigatvuođalávdegotti árvalusain Finnmárkku birra ja viidásit barggu mii šaddá 	guoskat 	eará árbevirolaš sámi guovlluide .
Boazoealáhus ii leat dán rádjai oŋŋon govttolaš oasi buhtadusain , ja dát 	guoská 	earenoamáŋit ekonomalaš vahágiidda go lea ollu bohccuid massán .
Dat 	guoská 	sisriikkalaš buvttadeapmái , riikka ieŋas boazodolliid dienasdássái , bohccobierggu márkanosiide , njuovahatstruktuvrii , bargosajiide guovllus gos leat uhccán ealáhusat , ja sápmelaččaid ovttasbargovejolašvuođaide rastá riikkarájiid .
Dasto leat servodat- ja kultuvrralaš bealit , ja dilálašvuohta 	guoskkašii 	ollu boazodolliide ja bearrašiidda .
Dá leat eavttuhusat main fuomášupmi lea divvojuvvon doaibmabijuide maid sáhttá čađahit viehka geahppasit ja maidda eai 	guoskka 	proseassat mat muđui leat jođus .
Dát 	guoská 	sihke mearra- ja johkabivdui .
Vádjolusluossalávdegoddi lea barggus bokte váikkuhan oaŋŋut áddejumi muhtun boahtteáiggi hástalusaide mat 	gusket 	luosa biologiija ja hálddašeami vuogádahkii , ja čilgen dan ja addán das máhtolašvuođa .
Erenoamáš dehálaš lea ahte máhtolašvuohta mii 	guoská 	luosa vánddardeapmái , ahtanuššamii ja gođđamii mearas buoriduvvo .
Dál bargojuvvo sámi riektiáddejumi ja dološvuoigatvuođa kártemiin mii 	guoská 	riddolagaš resurssaid geavaheapmái .
Viidáseabbo dutkanbarggus dáid gaŋaldagaid oktavuođas háliidit rávvet ahte biddjo stuorra deaddu olbmuid árgabeaivvi máhtolašvuođa kártemii ja analyseremii luondduoktavuođaid birra - dán oktavuođas 	guoská 	dát lussii .
Čuokkis 9.3.3 	guoská 	earret eará rusttegiin báhtaran guliid bivdimii .
Čuokkis 9.8.3 	guoská 	predatorhálddašeapmái .
Erenoamáŋit 	guoská 	dát luosa eretvánddardeapmái , ahtanuššamii ja gođđanvánddardemiide .
Erenoamáŋit 	guoská 	dát luosa eret vánddardeapmái , ahtanuššamii ja gođđanvánddardemiide .
Viidáseabbo dutkanbarggus dáid gaŋaldagaid oktavuođas háliidit rávvet ahte biddjo stuorra deaddu olbmuid árgabeaivvi máhtolašvuođa kártemii ja analyseremii luondduoktavuođaid birra — dán oktavuođas 	guoská 	dát lussii .
Čuokkis 9.3.3 	guoská 	earret eará rusttegiin báhtaran guliid bivdimii .
Čuokkis 9.8.3 	guoská 	predatorhálddašeapmái .
Dát 	guoská 	sihke mearra- ja johkabivdui .
Vádjolusluossalávdegoddi lea barggus bokte váikkuhan oaŋŋut áddejumi muhtun boahtteáiggi hástalusaide mat 	gusket 	luosa biologiija ja hálddašeami vuogádahkii , ja čilgen dan ja addán das máhtolašvuođa .
Erenoamáš dehálaš lea ahte máhtolašvuohta mii 	guoská 	luosa vánddardeapmái , ahtanuššamii ja gođđamii mearas buoriduvvo .
Dát 	guoská 	sihke mearra- ja johkabivdui .
Vádjolusluossalávdegoddi lea barggus bokte váikkuhan oaŋŋut áddejumi muhtun boahtteáiggi hástalusaide mat 	gusket 	luosa biologiija ja hálddašeami vuogádahkii , ja čilgen dan ja addán das máhtolašvuođa .
Erenoamáš dehálaš lea ahte máhtolašvuohta mii 	guoská 	luosa vánddardeapmái , ahtanuššamii ja gođđamii mearas buoriduvvo .
Viidáseabbo dutkanbarggus dáid gaŋaldagaid oktavuođas háliidit rávvet ahte biddjo stuorra deaddu olbmuid árgabeaivvi máhtolašvuođa kártemii ja analyseremii luondduoktavuođaid birra - dán oktavuođas 	guoská 	dát lussii .
Dát 	guoská 	sihke dáláš institušuvnnaide main leat viiddidanplánat , ja čuovvovaš plánejuvvon prošeavttaide ( prioriterekeahtes listu ) :
Dát 	guoská 	earenoamáŋit prošeavttaide mat gusket mearrasámi guovlluide .
Dát guoská earenoamáŋit prošeavttaide mat 	gusket 	mearrasámi guovlluide .
Dát 	guoská 	sihke dáláš institušuvnnaide main leat viiddidanplánat , ja čuovvovaš plánejuvvon prošeavttaide ( prioriterekeahtes listu ) :
Dát 	guoská 	earenoamáŋit prošeavttaide mat gusket mearrasámi guovlluide .
Dát guoská earenoamáŋit prošeavttaide mat 	gusket 	mearrasámi guovlluide .
Dát 	guoská 	sihke dáláš institušuvnnaide main leat viiddidanplánat , ja čuovvovaš plánejuvvon prošeavttaide ( prioriterekeahtes listu ) :
§ 3 Sámi giellamearrádusat § 2 vuolde 	gusket 	prinsihpalaččat buot sámegielaide main lea ieŋaset čállinvuohki .
Sámi giellalávdegoddi sáhttá goit fápmudit sierra giellajoavkkuid juhkosiid mearridit áššiin mat 	gusket 	dušše ovtta giellajovkui .
Mii 	guoská 	terminologiijabargui , de diehtá SVL ahte leat mášggat prošeavttat mat leat álggahuvvon davvi-riikkalaš dásis gos sámit EAI leat mielde .
SVL oaivila mielde dát maid 	guoská 	go doallá oktavuođaid eará ásahusaiguin Sámis ja riikkaidgaskasaččat .
§ 3 Sámi giellamearrádusat § 2 vuolde 	gusket 	prinsihpalaččat buot sámi suopmaniidda .
Sámi giellalávdegoddi sáhttá goit fápmudit sierra suopmanjoavkkuid juhkosiid mearridit áššiin mat 	gusket 	dušše ovtta suopmanjovkui .
§ 3 Sámi giellamearrádusat § 2 vuolde 	gusket 	prinsihpalaččat buot sámi suopmaniidda .
Sámi giellalávdegoddi sáhttá goit fápmudit sierra suopmanjoavkkuid juhkosiid mearridit áššiin mat 	gusket 	dušše ovtta suopmanjovkui .
Sámedikki eavttuhus viggá divvut fuomášumi doaibmabijuide maid sáhtášii čađahit viehka geahppasit ja mat eai 	guoskkaše 	eará proseassaide mat leat jođus .
Dát 	guoská 	earenoamáŋit Kárášjot- ja Guovdageain-boazoguohtonguovlluide .
Sámedikki eavttuhus viggá divvut fuomášumi doaibmabijuide maid sáhtášii čađahit viehka geahppasit ja mat eai 	guoskkaše 	eará proseassaide mat leat jođus .
Dát 	guoská 	earenoamáŋit Kárášjot- ja Guovdageain-boazoguohtonguovlluide .
Dát 	guoská 	Sámedikki ieŋas bargui ja maiddái bargui eará ásahusaid ja orgánaid ektui mat vaikkuhit sámi servodaga ovdáneami .
Nissoniidda geat barget vuođđoealáhusain leat áššit mat 	gusket 	bálkái , penšuvdnii , áhpehisvuhtii ja buozanvuođabálká- ja oadjoortnegiidda deaŧalaččat .
Máttasámi guovllu nissonat leat čatnan maiddái birasgaŋaldagaid dearvvasvuhtii , ja leat ohcalan dutkama mii čájehivččii vejolaš guhkesáiggeváikkuhusaid maššá Tjernobyllihkohisvuođa mii earenoamáŋit 	guoskkai 	máttasámi guvlui .
Sámedikki nissonprošeavtta prošeaktaáigodagas lea Sámediggi vásihan ahte gaŋaldagaid mat 	gusket 	dásseárvui ferte álelassii ja vuđolaččat čuovvut .
Sámediggi lea sápmelaččaid bajimuš orgána gos mearriduvvojit deaŧaleamus áššit mat 	gusket 	sápmelaččaide .
- leat mielde integrereheamen mánáidgárdái ja vuođđoskuvlii čuolmmaid mat 	gusket 	gánddaid ja nieiddaid guovttelágan oahpaheapmái
Dát 	guoská 	maid ruošša stáhtaássiide ja sin bearrašiidda , geat leat ásaiduvvan norggabeallai .
	Guoská 	čuoggái 1.3 , 1. teakstaoassi
	Guoská 	čuoggái 3.1 :
Dát 	guoskkašii 	maiddái virgái boazodoallohálddahusas .
Dát 	guoská 	Sámedikki ieŋas bargui ja maiddái bargui eará ásahusaid ja orgánaid ektui mat váikkuhit sámi servodaga ovdáneami .
Nissoniidda geat barget vuođđoealáhusain leat áššit mat 	gusket 	bálkái , penšuvdnii , áhpehisvuhtii ja buozanvuođabálká- ja oadjoortnegiidda deaŧalaččat .
Máttasámi guovllu nissonat leat čatnan maiddái birasgaŋaldagaid dearvvasvuhtii , ja leat ohcalan dutkama mii čájehivččii vejolaš guhkesáiggeváikkuhusaid maššá Tjernobyllihkohisvuođa mii earenoamáŋit 	guoskkai 	máttasámi guvlui .
Sámedikki nissonprošeavtta prošeaktaáigodagas lea Sámediggi vásihan ahte gaŋaldagaid mat 	gusket 	dásseárvui ferte álelassii ja vuđolaččat čuovvut .
Sámediggi lea sápmelaččaid bajimuš orgána gos mearriduvvojit deaŧaleamus áššit mat 	gusket 	sápmelaččaide .
- leat mielde integrereheamen mánáidgárdái ja vuođđoskuvlii čuolmmaid mat 	gusket 	gánddaid ja nieiddaid guovttelágan oahpaheapmái
Dát 	guoská 	maid ruošša stáhtaássiide ja sin bearrašiidda , geat leat ásaiduvvan norggabeallai .
Dát 	guoská 	organisašuvnna siskkáldas huksemii ja boahtteáigái heivehuvvon ealáhuspolitihkalaš duodjepolitihka hábmemii .
Dákkár fágaásahus lea deaŧalaš daid osiid goziheamis mat 	gusket 	buvttaovddideapmái , oaivadeapmái ja fágalaš láhččimii .
Dát 	guoská 	maid oahpahalliidbálkká ruhtadeapmái .
Hálddahuslága njuolggadusat 	gusket 	áššiide mat meannuduvvojit dáid njuolggadusaid mielde .
Láhkamearrádus vuođustangeatnegasvuođa birra ovttaskas mearrádusaid oktavuođas , 	guoská 	áššiid mearrádusaide nu go namuhuvvon 3. čuoggás .
Lea dehálaš dakkár fágaásahusain fuolahit daid beliid suorggis mat 	gusket 	dujiid ovdáneapmái , bagadussii ja fágalaš lágideapmái .
Lea dárbu dakkár forumii gos buohkat geain lea beroštupmi áššis čoahkkanit , buohkain lea de okta lávdi gos deaivvadit ja dat mii doppe mearriduvvo 	guoská 	buohkaide .
Lea dehálaš dakkár fágaásahusain fuolahit daid beliid suorggis mat 	gusket 	dujiid ovdáneapmái , bagadussii ja fágalaš lágideapmái .
Dát 	guoská 	organisašuvnna siskkáldas huksemii ja boahtteáigái heivehuvvon ealáhuspolitihkalaš duodjepolitihka hábmemii .
Dákkár fágaásahus lea deaŧalaš daid osiid goziheamis mat 	gusket 	buvttaovddideapmái , oaivadeapmái ja fágalaš láhččimii .
Dát 	guoská 	maid oahpahalliidbálkká ruhtadeapmái .
Dát 	guoská 	organisašuvnna siskkáldas huksemii ja boahtteáigái heivehuvvon ealáhuspolitihkalaš duodjepolitihka hábmemii .
Dákkár fágaásahus lea deaŧalaš daid osiid goziheamis mat 	gusket 	buvttaovddideapmái , oaivadeapmái ja fágalaš láhččimii .
Dát 	guoská 	maid oahpahalliidbálkká ruhtadeapmái .
Hálddahuslága njuolggadusat 	gusket 	áššiide mat meannuduvvojit dáid njuolggadusaid mielde .
Láhkamearrádus vuođustangeatnegasvuođa birra ovttaskas mearrádusaid oktavuođas , 	guoská 	áššiid mearrádusaide nu go namuhuvvon 3. čuoggás .
Mášga eavttuhusa ođđa minerálalágas 	gusket 	eana- ja čáhcevuoigatvuođaid digáštallamii mat Sámi vuoigatvuođalávdegotti árvalusas leat gieđahallon .
Dattetge oaivvilda Sámediggi ahte dát dáhkádus galgá oidnot njuolga lágas , ja dat galgá 	guoskat 	olles sámi ássanguvlui , ii ge dušše Finnmárkui .
Lea dehálaš , jos daid beliid mat 	gusket 	sámi guovlluid riektidiliide galgá ollislaččat ja ovttastahttojuvvon meannudit , ahte minerálaláhkaeavttuhusat bohtet maiddái ovdan fárrolagaid Sámi vuoigatvuođalávdegotti árvalusain .
Mášga eavttuhusa ođđa minerálalágas 	gusket 	eana- ja čáhcevuoigatvuođaid digáštallamii mat Sámi vuoigatvuođalávdegotti árvalusas leat gieđahallon .
Dattetge oaivvilda Sámediggi ahte dát dáhkádus galgá oidnot njuolga lágas , ja dat galgá 	guoskat 	olles sámi ássanguvlui , ii ge dušše Finnmárkui .
Lea dehálaš , jos daid beliid mat 	gusket 	sámi guovlluid riektidiliide galgá ollislaččat ja ovttastahttojuvvon meannudit , ahte minerálaláhkaeavttuhusat bohtet maiddái ovdan fárrolagaid Sámi vuoigatvuođalávdegotti árvalusain .
Dát 	guoská 	maiddái lihkahallamiidda Blåtind báhčin- ja hárjehallanšillju juo ásahuvvon oasis .
Dát 	guoská 	maiddái Akkasæter geaidnohuksemii , juste danne go Akkasætera geainnu huksen lea oassi Meavkke-Blåtind huksemis .
Ráđđi ii leat gal duhtavaš dainna go departemeanta lea čuovvulan Sámedikki evttohusa dušše guovddáš válgalávdegotti ásaheamis sámelága ja válganjuolggadusaid ođasmahttimis , gč. Ášši 09/00/09 mii 	guoská 	válgaorgánaid evttohussii , mandáhta ja kreatsajuhkui , evttohan vuoigatvuhtii - listu evttoheaddjit , rievttalaš sohkabeal juohkáseapmái ja sámi jienastuslohkui .
Ráđđelahttu Berit Ranveig Nilssen ovddidii Sámedikki gáibádusa gonagasreappá bivddu ja hálddašeami ektui , mat leat čuovvuvaččat : 1 ) Várret dárbbašlaš ruđaid daid vahágiidda maid gonagasreabbá dagaha dorskebivddus , 2 ) gonagasreappá bivdoearit galget stuoriduvvot ja buot bivdit áigeguovdilis guovllus fertejit searvat geahččalanbivdui , 3 ) Guolástusdirektoráhta ferte álggahit merddiid ovddideami mat doibmet dorskebivddus ja 4 ) hálddašanprošeakta mii galgá álggahuvvot Guolástusdepartemeantta ja Sámedikki gaskka 	guoská 	maiddái dasa ahte báikkálaččat beassat searvat reabbáresurssa hálddašeapmái .
Šiehtadallamat 	gusket 	sullii beallái buot eamiálbmogiin Kanádas , ja 34 šiehtadallama mat leat jođus gusket eamiálbmotjoavkkuide mat leat stuorát go 8000 olbmo .
Šiehtadallamat gusket sullii beallái buot eamiálbmogiin Kanádas , ja 34 šiehtadallama mat leat jođus 	gusket 	eamiálbmotjoavkkuide mat leat stuorát go 8000 olbmo .
Vuosttas listu 	guoská 	áššiide maid sáhttá bidjat eamiálbmotráđđehusaide .
Dasto árvala bargojoavku ahte ráhkaduvvojit dakkár levgennjuolggadusat mat 	gusket 	maiddái sámelevgii .
Seammá 	guoská 	maiddái daid ruđaide mat addojuvvojit prošeavttaide ja eará doaibmabijuide .
Dát 	guoská 	erenoamážit eanadollošiehtadallamiidda .
Mii 	guoská 	sierra duodjeruđaid hálddašeapmái , de juogada Sámedikki dievasčoahkkin njuolga muhtun osiid dán doarjjaortnegis .
Dát 	guoská 	dan jahkásaš doaibmadoarjagii mii juogaduvvo institušuvnnaide ja organisašuvnnaide .
Dát njuolggadusat heaittihuvvojit bušeahttajagi 2001 rájes , mii 	guoská 	doarjagii mii juolluduvvo sámegiela hálddašanguvlui .
Dát 	guoská 	maiddái visttiide .
Galget álggahuvvot erenoamáš sámi nannendoaibmabijut , mat galget 	guoskat 	sierra sámi giellaguovlluide miehtá riikka :
Dan botta , jagi 2000 borgemánu rájes lea jođus kártenbargu , man bokte galgá gávnnahit makkár hástalusat leat Sámedikkis ovddabealde , sihke mii 	guoská 	doaibmabijuide gelbbolašvuođa ovddideamis ja oahpponeavvo ovddideamis .
Seamma 	guoská 	rapporterenprosedyraide mat čatnasit ILO 169 , bargui viidáseabbot Rio-julggáštusain ( Agenda 21 ) nana bissovaš ovdánemiin ja ON-konvenšuvdna biologálaš eatnatgeardáivuođa ektui .
Sámegiella eallá dain gielddain maidda sámelága giellanjuolggadusat 	gusket 	, go fas eará guovlluin dáruiduhttinpolitihka geažil lea giella jávkamin ollásit .
Sámediggi meannuda dikki váikkuhangaskaomiid geavaheami prioriterema eanadollui , mii 	guoská 	mášen- ja reaidodoarjagii eará ovttasbargodoaibmabijuid ektui eanadoalus , eanadoalloplána ođasmahttimis ja árvoháhkanprográmma oktavuođas .
Dat oasit gustovaš duodjeorganisašuvnnaid doarjjanjuolggadusain mat 	gusket 	institušuvnnaide mat leat dán poasttas sihkkojuvvojit .
Seammá 	guoská 	maiddái daid ruđaide mat addojuvvojit prošeavttaide ja eará doaibmabijuide .
Dát 	guoská 	erenoamážit eanadollošiehtadallamiidda .
Sámediggi meannuda dikki váikkuhangaskaomiid geavaheami prioriterema eanadollui , mii 	guoská 	mášen- ja reaidodoarjagii eará ovttasbargodoaibmabijuid ektui eanadoalus , eanadoalloplána ođasmahttimis ja árvoháhkanprográmma oktavuođas .
Dat oasit gustovaš duodjeorganisašuvnnaid doarjjanjuolggadusain mat 	gusket 	institušuvnnaide mat leat dán poasttas sihkkojuvvojit .
Dát njuolggadusat heaittihuvvojit bušeahttajagi 2001 rájes , mii 	guoská 	doarjagii mii juolluduvvo sámegiela hálddašanguvlui .
Dát 	guoská 	maiddái visttiide .
Galget álggahuvvot erenoamáš sámi nannendoaibmabijut , mat galget 	guoskat 	sierra sámi giellaguovlluide miehtá riikka :
Dan botta , jagi 2000 borgemánu rájes lea jođus kártenbargu , man bokte galgá gávnnahit makkár hástalusat leat Sámedikkis ovddabealde , sihke mii 	guoská 	doaibmabijuide gelbbolašvuođa ovddideamis ja oahpponeavvo ovddideamis .
Seamma 	guoská 	rapporterenprosedyraide mat čatnasit ILO 169 , bargui viidáseabbot Rio-julggáštusain ( Agenda 21 ) nana bissovaš ovdánemiin ja ON-konvenšuvdna biologálaš eatnatgeardáivuođa ektui .
Duohtavuohta čájeha ahte § 3-8 ja dan láhkaásahusat 	gusket 	dušše davvisámegillii , DAVVIN ja SÁMAS kurssaide ja oahppoorganisašuvnnaide .
Dát ruđat leat jurddašuvvon olles olbmuid várás geaidda almmolaš ortnegat eai 	guoskka 	vai ožžot vejolašvuođa oažžut doarjaga sámegiel oahpu váldimii .
Dát 	guoská 	Sámediggeráđđái ja joavkojođiheaddjiide .
Sámediggi lea ollu jagiid bargan áššiiguin mat 	gusket 	dán sektuvrii .
Duohtavuohta čájeha ahte § 3-8 ja dan láhkaásahusat 	gusket 	dušše davvisámegillii , DAVVIN ja SÁMAS kurssaide ja oahppoorganisašuvnnaide .
Dát ruđat leat jurddašuvvon olles olbmuid várás geaidda almmolaš ortnegat eai 	guoskka 	vai ožžot vejolašvuođa oažžut doarjaga sámegiel oahpu váldimii .
Dát 	guoská 	Sámediggeráđđái ja joavkojođiheaddjiide .
Sámediggi lea ollu jagiid bargan áššiiguin mat 	gusket 	dán sektuvrii .
Dát 	guoská 	earenoamážit alitoahpu // oahpaheaddjeoahpu rekrutterenvuođu kártemii , statistihkkii ja dárkilis dárboanalysii dálá oahpaheaddjeoahpu oktavuođas .
Gelbbolašvuođaovdáneapmi oahpaheddjiid várás ii 	guoskka 	dušše sámegiela ja kultuvrra gelbbolašvuođaloktemii .
Mii 	guoská 	ovddasvástádusjuohkimii Sámi allaskuvlla ja Sámedikki gaskka ja Sámi allaskuvlla ja eará allaskuvllaid gaskka , lea Sámedikki prinsihpalaš oaivil ahte Sámediggi ii galgga addit lassioahpu nu go lávdegoddi lea árvalan sámi vuođđoskuvlla oahpaheddjiid ektui .
Dát 	guoská 	earenoamážit alitoahpu // oahpaheaddjeoahpu rekrutterenvuođu kártemii , statistihkkii ja dárkilis dárboanalysii dálá oahpaheaddjeoahpu oktavuođas .
Gelbbolašvuođaovdáneapmi oahpaheddjiid várás ii 	guoskka 	dušše sámegiela ja kultuvrra gelbbolašvuođaloktemii .
Mii 	guoská 	ovddasvástádusjuohkimii Sámi allaskuvlla ja Sámedikki gaskka ja Sámi allaskuvlla ja eará allaskuvllaid gaskka , lea Sámedikki prinsihpalaš oaivil ahte Sámediggi ii galgga addit lassioahpu nu go lávdegoddi lea árvalan sámi vuođđoskuvlla oahpaheddjiid ektui .
Dát 	guoská 	Finnmárkku , Tromssa , Norlándda , Davvi- ja Lulli Trøndelaga ja Hedmárkku fylkkaide .
Dát 	gusket 	riddo- ja vuotnasuohkaniidda Davvi-Norggas ja suohkaniidda lullisámiguovllus .
Jus fylkasuohkanat galget bissut , de leat dat molssaeavttut suohkaniidda vissis áššiin mat 	gusket 	guovlluide .
Eaktun lea dattetge ahe maiddái dás definerejuvvojit čielga barggut fylkkasuohkaniidda ja Landsdelutvalgai áššiin mat 	gusket 	sápmelaččaide , ja ahte ráhkaduvvo čielga rapporterenvuogádat .
Mearrádusaid berre dat váldit geasa ášši eanemusat 	guoská 	.
Dát 	guoská 	Finnmárkku , Tromssa , Norlándda , Davvi- ja Lulli Trøndelaga ja Hedmárkku fylkkaide .
Dát 	gusket 	riddo- ja vuotnasuohkaniidda Davvi-Norggas ja suohkaniidda lullisámiguovllus .
Jus fylkasuohkanat galget bissut , de leat dat molssaeavttut suohkaniidda vissis áššiin mat 	gusket 	guovlluide .
Eaktun lea dattetge ahe maiddái dás definerejuvvojit čielga barggut fylkkasuohkaniidda ja Landsdelutvalgai áššiin mat 	gusket 	sápmelaččaide , ja ahte ráhkaduvvo čielga rapporterenvuogádat .
Sámediggi deattuhii ahte dát mearrádus erenoamážit ferte 	guoskat 	sidjiide geain aktiivvalaš doarjaga dahje veahki haga leat váttisvuođat oažžut sáni almmolaš ságastallamis .
Sámediggi deattuhii ahte dát mearrádus erenoamážit ferte 	guoskat 	sidjiide geain aktiivvalaš doarjaga dahje veahki haga leat váttisvuođat oažžut sáni almmolaš ságastallamis .
Dát 	guoská 	erenoamážit 19 .
Dát 	guoská 	erenoamážit 19. kapihttalii Høgere utdanning og forskning i det samiske samfunn .
Dát vuoigatvuohta 	guoská 	maiddái cealkinfriddjavuođa ekonomalaš rámmaide .
Dát vuoigatvuohta 	guoská 	maiddái cealkinfriddjavuođa ekonomalaš rámmaide .
Fylkkamánni badjelgeahččanvuohta čuzii garrasit guovllu olbmuide sihke ekonomalaččat ja muđui mii 	guoská 	guovllu olbmuid luonddu ávkkástallamii .
Dieđáhus 	guoská 	ráđi doaimmaide miessemánu 11. b. rájes čakčamánu 6. b. rádjai 1998.
Raporta lea sáddejuvvon gulaskuddamii ráđiide ja bargiidorganisašuvnnaide maidda ášši 	guoská 	. #ILL
Sámediggeráđđi lea buktán cealkámuša njuolggadusaide mat 	gusket 	trolahis sonaide ja dávgasis guovlluide , ášši R 51/98/51 .
Lassin áigu ráđđi čoahkkimis departemeanttain ovddidit áššiid mat 	gusket 	njuorjováttisvuođaide , snoranuohtte- ja autoliidnabivdui , ja guolástussuorggi ođđasis organiseremii .
Dát 	guoská 	erenoamáŋit ráđi ruhtadeapmái , ja maid eará gaŋaldagaide maid lea dárbu dárkileabbot árvvoštallat .
Sámediggeráđđi áigu Sámedikki 1999 stáhtabušeahta juolludusa juogadeami oktavuođas máhccat áššái mii 	guoská 	Norgga Sámedikki ruđalaš ovddasvástádussii .
Sámediggeráđđi lea dáhtton vuos mašidit mearrádusa mii 	guoská 	Prospektering A // S rogganšiehtadussii Náranašas , ja Mineralutvikling A // S oktovuoigatvuođašiehtadusii // geahččalanroggamii Riebanváris .
Ášši lea ovttas gaŋaldagain mii 	guoská 	gulaskuddanáigemeari mašideapmái oanehaččat guorahallon presideantta čoahkkimis fylkkasátnejođiheddjiin 03.09.98.
Ovttasbarggu ulbmilin galgá leat ovttastahttit eaškiláššiid meannudeami mat 	gusket 	sápmelaččaide guhkelii go ovtta riikkas ja sápmelaččaide sierra álbmogin , ovddidit praktihkalaš ovttasbargovugiid sámi álbmotválljen orgánaid gaskka juohke suorggis gokko lea lunddolaš , ja lágidit dilálašvuođaid vai sápmelaččat besset buktit oktasaš sámi oainnuid , ja ahte sápmelaččain leat oktasaš ovddasteaddjit davviriikkalaš ja gaskariikkalaš orgánain .
Cealkámuš árvvoštallá hui vođolaččat čuolmmaid mat 	gusket 	sápmelaččaid gaskasaš ovttasbargui riikkarájiid rastá ja dákkár ovttasbarggu dárbui .
Dát 	guoská 	maiddái oktasaščállingotti báikái ja ásaheapmái » .
« Sámi Parlamentáralaš Ráđđi galgá váikkuhit dan ahte ovttastahttit dakkár áššiid politihkalaš meannudeami mat 	gusket 	sápmelaččaide dahje sáhttet guoskat eambbo go ovtta riikka sápmelaččaide dahje sápmelaččaide álbmogin .
« Sámi Parlamentáralaš Ráđđi galgá váikkuhit dan ahte ovttastahttit dakkár áššiid politihkalaš meannudeami mat gusket sápmelaččaide dahje sáhttet 	guoskat 	eambbo go ovtta riikka sápmelaččaide dahje sápmelaččaide álbmogin .
Sámedikkiid presideanttat guorahalle ášši mii 	guoská 	prošeavtta ovdáneapmái ja ruhtadeapmái Davviriikkaid Ministarráđi kr. 300 000,- lassijuolludusa vuođul 1998 várás , gč. mildosa 3 .
Sámediggeráđđi oaidná ahte áššis mii 	guoská 	Sámi parlamentáralaš ráđi ásaheapmái leat mášga beali maid ferte dárkileabbut guorahallat .
Áššit mat 	gusket 	eanet go ovtta stáhta sápmelaččaide ( nugo omd. sámi giella- ja oahpahusáššit ) , davviriikkalaš sámi ovttasbargu , barentsovttasbargu , Ártalaš ráđi áššit , eurohpalaš uniovdna , Ovttastuvvon nášuvnnat ( ON ) , ja sámi veahkkebargu .
Ášši 	guoská 	dasa , ahte Finnmárkku eanavuovdinstivra lea addán hui gárŋŋes lobi luonddugeđggiid roggamii guovtti bolttohagas Guovdageainnus - báikki olbmot ja gielda leat maiddái dorjon nannosit dán doaibmabiju . #ILL
Bargiidbellodaga joavku doarju dieđusge , ahte galgá leat hirbmat várrugas , mii 	guoská 	lihkahallamiidda , maid sáhttá dulkot dainna lágiin , ahte ovdal gihtii politihkalaččat meannudit Sámi vuoigatvuođalávdegotti eavttuhusa .
Dát konkrehta ášši 	guoská 	doaibmašiehtadussii Náranašas Prospektering A // S ektui , ja ohcanlohpái // geahččalandoibmii Riebanváris Mineralutvikling A // s ektui .
Dán postii gullet doarjja dáiddárorganisašuvnnaide , sámi valáštallamii ja sámi organisašuvnnaide maidda ii 	guoskka 	sámi váldororanisašuvnnaid doarjja .
Muhto 	guoská 	maiddái doalliide Davvi-Trøndelágas , geat leat oŋŋon veaháš doarjaga , rahčet garrasit , ja ollugat árvvoštallet heaitit boazodoalus .
Soahpamuš ja guolástusnjuolggadusat , mat dál 	gusket 	Deanujohkii rievdaduvvojedje mašimuččat 1989s .
