[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
Geahččal jurddašit jus mis ii livčče mihttomehter ja de 	galggat muhtimii 	muitalit man guhkás don njuikejit sabehiiguin , movt son de galgá muitalit dan .
Duhátjuolggat ja goŧka 	galggaiga restoráŋŋii 	.
Mun njuikejin stohkosis eret go 	galgen dutnje 	muitalit mus lea juolgi bávččas !
– Jurdda lea ahte mii 	galgat Londonii 	dáinna čájálmasain , muhto dat galgá leat dušše sámegillii inge jáhke dan leat nu váttisin olbmuide ipmirdit go Áillohačča divttat han leat jorgaluvvon eŋgelasgillii , čilge Synnøve Persen .
Jos dii Deatnogátti olbmot beroštehpet iežadet gussiin , de 	galggašeiddet sidjiide 	lágidit psykologa , go eatnašat dáinna Kala Pekkain leat fáhtehaddon luossamielahisvuhtii , mii lea seammalágan dávda go speallomielahisvuohta , logai diet nuorra almmái .
Maiddái Poasta mii boahtá máddin ja 	gálgá Nordlándii 	maŋŋona ovttain bievvin .
– Dál fertejetne vuolgit , ferte astat boradit , ovdal go fas 	galge čoahkkimii 	maŋŋágaskabeaivvi , dadjá Chirag .
– Áhčči vástidii ahte mun ledjen mannan Eurohpái čuojahit musihka , muhto mun in 	galgan Norgii 	.
Prošeakta 	galggai nuoraide 	addit vejolašvuođa leahkit oasálažžan áššiin mat sidjiide gusket .
” Beatnaga ii 	galgga gulgii 	geahččat ”
” Beatnaga ii 	galgga gulgii 	geahččat ” čájehuvvo otne vuosttas háve Dansens hus báikkis Oslos
Magnus Vuolab dahkamin daid maŋimuš rievdademiid , ovdal go skearru 	galgá deaddileapmái 	.
Son 	galgá FILA-gilvui 	Madridii Sapnias suoidnemánu 9-15. beivviid .
– Dál vuolggán Anárii ja boahtte vahkku 	galggan Girkonjárgii 	.
Beatnaga ii 	galgga gulgii 	geahččat
Rámi veara lea maid go son vuolgá bealleálás govaide mat 	galget aviisii 	deaddiluvvot .
Dássedit čađahuvvojit doaimmat mat 	galget midjiide 	čalmmustahttit johtolaga várálašvuođaid ja buoridit johtolatsihkarvuođa , muhto jearaldat lea man bures daiguin olahit mihtuid .
Mii eat leat áibbas vissát lea go Sámediggi rievttes orgána čađahit ja eaiggáduššat ruhtačoagginakšuvnna go das dáidet leat olu formalitehtat mat 	galget sadjái 	.
Eat mii dan gal oaivvil ahte lihttu ii 	galgga dáidda 	báikkiide addit lágideami , muhto somá livčče oaidnit livčče go liikka unnán beroštupmi čiekčamiidda jus dan fas lágidivččii guovddáš báikkiin Finnmárkkus dahje Romssas .
Go Sámediggái ii oro šat nu dehálaš dáhkidit ahte oassi ruvkefitnodagaid dietnasis 	galgá sámiide 	ávkin boahtit .
Dalle han 	galggašii sidjiide 	fálaldat .
Olusat leat várra illudan ja ráhkkanan dán beaivái , go mánná 	galgá skuvlii 	álgit .
Dat mii lea maid stuora váttisvuohta dál Pakistanas , lea go heahteveahkki ii olle dohko gosa 	galggašii doarvái 	jođánit ja go ruhtačoaggimat ovdamearkka dihte Norggas ii leat lihkostuvvan nu bures go livččii sávvamis .
Min mielas goit lea dehálaš ahte sápmelaččat maid servet ruhtačoaggimii ja heahteveahkkái mii 	galggašii Pakistanii 	.
Min mielas goit lea dehálaš ahte sápmelaččat maid servet ruhtačoaggimii ja heahteveahkkái mii 	galggašii Pakistanii 	.
– Sámediggi ii sáhte dán ášši vuos meannudit go ráđđi ii leat čilgen mot dát plánaveahkki 	galgá šiehtadallamiidda 	váldit mielde beliid main leat geavahanvuoigatvuođa eatnamiidda , nu go vuođđoealáhusaid guolásteami , boazodoalu ja eanandoalu , muhto maiddái eará beliid nu go meahcásteddjiid , dadjá Johttisápmelaččaid Listtu sámediggeáirras Per A. Bæhr .
Per A. Bæhr mielas ii leat dat doarvái go ii boađe čielgasit ovdan makkár rolla beliin 	galgá maidda 	ruvkebarggut čuhcet .
Dađi mielde go oahppit šadde duostileabbon , de árvaledje muhtimat ahte 	galggaše sámegillii 	oažžut oahpu ođđadárogiela sadjái .
Ikte oainnat 	galggai Finnmárkui 	joavdat stoarbma mii lea ožžon nama ‹ ‹ Ask › › .
VÁLLJEMUŠ : – Deanu gieldda ovdagoddi čoahkkana boahtte duorastaga mearridit guđe advokáhta váldet ášševuoddjin bievlavuodjináššis mii 	galgá diggái 	farga , muitala Deanu ráđđealmmái , Jørn Aslaksen .
Dat baicce dagahit váttisvuođaid midjiide , ja dolvot min sáivaguliid mat 	galggašedje johkii 	fas beassat , čilge Somby .
Nu 	galggašii sámediggevuogádahkii 	leat áibbas čielggas ahte Sámediggeráđđi ii sáhte mearridit eará go dan maid Sámedikki dievasčoahkkimis leat mearridan .
Duojár Aline Mikkelsen ballá duoji goariduvvot jus ruđat das 	galget kulturbeliide 	maid vuoruhuvvot .
Son gal bivdá ahte Mátta-Várjjat vuoruha buorebut ja fertejit gal sámegielat mánáide addit sajiid mat 	galget sámemánáide 	.
Stivrra bealis muitala Turi ahte lea ollu mii 	galgá sadjái 	, earret eará nu go organisašuvdnanummir , doarjagiid ja viessosaji ohcat ja olmmoš gean bálkáhit , galggašii ge diekkár áššiiguin bargat .
Áiddit mat čužžot 	galget gulaskuddamii 	ja dalle besset buohkat cealkit iežaset oaiviliid .
Dál leat dušše beassan diehtit ahte mii 	galgat gulahallančoahkkimii 	ja buktit iežamet oaiviliid .
Min skuvllas lea buorre go lea kantiina , stáda 	galggašii dása 	bidjat ruđa vai sáhttet bissovaš bálkái bidjat olbmo vai suohkan ii dárbbaš máksit ja nu šattašii dát bistevaš doaibman , dadjaba soai .
Ii 	galgga earáide 	dáhpáhuvvat
– Mun jurddašan dát ii 	galgga earáide 	dáhpáhuvvat movt muinna lea UNN láhtten .
Fáhkka , guokte vahku ovdal go 	galget bargui 	álgit , bessen gullat ahte ledje mearridan sirdimin doaimmahusa Heahtái .
– Ii livčče 	galgan diggái 	
– Galgá várrugasat molsugoahtit biepmu amas eai šibihat buohccát , 	galgá veahážii 	mielde guoiradit ja bearráigeahččat ahte šibit ii nealggo .
Soai goappašagat imaštalaiga gii dalle oahpaha mánáid go ná olu oahpaheddjiid 	galggašii jahkái 	váldit skuvllas eret .
Dát 	galgá boazodollui 	ávkin fuomášuhttit eanamassimiid eará doaimmaide .
Dán rádjái boraspirevahága eastadandoaimmat leat dušše sávzadoalu ektui leamašan ja 	galget boazodollui 	maid buorrin boahtit .
– Erenoamážit mánáide livččii buorre jus internáhtta gárvána , go sii orrot nu bieđggus iešguđetge siiddain ja muhtumat šaddet máŋga miilla vázzit juohke beaivvi go 	galget skuvlii 	ja dat gal juo iešalddis muitala ahte lea stuora dárbu internáhttii , lohká son .
Stáhta lea dadjan don 	galggat duosa 	.
Muhto in hálit addit namaid ovdalgo lea mearriduvvon goabbá 	galgá jovkui 	, muitala Sandlie .
Lullisámegiel oahppi ii áigon álggos čađahit go nuppi dain dárogiel eksámeniin , go su mielas lea boastut ahte son beassá mearridit goabbá eksámen 	galgá duođaštussii 	, muhto earát eai beasa .
– Mis galgá álot leat juogalágan dispensašuvdna ja báhpirat ozas dahje ruovttus jus 	galgat meahccái 	vuolgit ja de lea čielggas ahte olbmot , ja de erenoamážit nuorat geardi , ii gille vuolgit meahccái , lohká son ja atná dan hui unohassan ja váivin .
GEIGE : Bajit Anárjoga álbmotmeahci viiddideami bargojoavkku áirras Solveig Boine Nikkinen geigii duorastaga Kárášjoga hoteallas fylkkamánnii reivve mii 	galgá ON:i 	.
Logaldallamis muitalii Anne Jannok Eira hástalusaid ja váttisvuođaid maid sii ožžot go 	galget mánáide 	oahpahit sámi árbevieruid ja kultuvrra mánáidgárddis .
– Dat mii lea stuorra hástalus lea ahte mis 	galgá doarvái 	gelbbolašvuohta sámi kultuvrras ja giellamáhtus olles mánáidsuodjalusa vuogádagas , dadjá Bufetáhta direktevra , Pål Chr. Bergstrøm .
Go dál 	galgá meahccái 	vuolgit , de ferte olles pearpma váldit mielde mas leat báhpirat mat čájehit maid oažžu meahcis bargat , dadjá vuollánan Dahl .
Earit 	galget sidjiide 	geain leat vuoigatvuođat daidda , earret eará mearrasápmelaččaide , logai son .
Maiddái USKAV-ovttastusa , ovttastus sidjiide geat masse oahpu nuppi máilmmisoađis , ovddasteaddji Elmine Valkeapää čuoččuhii Sámedikki váldán dan 75 miljovnna mii 	galggai sidjiide 	geat masse oahpu .
– Sierraguorbmebiila lea geaseheamen generáhtora mii 	galgá el-fápmorusttegii 	Áttánvutnii ja dasa dat darvánii , dadjá Lindeberg .
Son 	galggai čuohpahussii 	bearjadaga , muhto oaččui dieđu ahte ferte vuordit olles vahkkoloahpa .
ČálliidLágádus 	galgá mánáidskuvlii 	, 1. gitta 7. luohkáide , ráhkadit sámegiel matematihkkagirjjiid .
MT Slakt njuovahaga beaivválaš jođiheaddji , Anton Triumf , muitala ahte sii galget njuovvat Norturai , ja ahte 	galget sidjiide 	sáddet 110 tonna bierggu .
– Mii galgat ovttasráđiid bidjat dan vuođu dán našunála bargui , ja lea ge olu mii 	galgá sadjái 	.
– Dat lea jurddašuvvon 	galgat sámiide 	.
Dál 	galget 2000 	bohccui bidjat šelggoniid .
Rukses-ruoná ráđđehus olgoriikaminstara Jonas Gahr Støre bokte lea čáppa sániiguin sárdnon Davviguovlovuoruheami birra ( nu go ovdamearkka dihte Romssas skábmamánu 10. b. 2005 ) mii 	galgá álbmogii 	buorrin .
Valle muitala ruđat mat čuvvot dán juolludanreivve mielde eai leat sámegiela várás biddjon , muhto liikká 	galget dása 	ruđat gávdnot fylkkamánne iežas bušeahtas .
– Nuoraidráđi bargu lea čohkket buot nuoraid iige biđget sin , ja lágidemiide 	galgá buohkaide 	leat bures boahtin , ležžet dal servviin miellahtut vai eai , dadjá son .
Vaikko opposišuvnna Johttisámi Listtu áirras , Máret Sára , geahččalii čuolahit ahte gielda ii leat eananeaiggát ja danin ii 	galgga dasa 	máksot buhtadus .
Olbmot geat ledje mohtorfievrruin , 	galget sutnje 	čurven ahte galgá viehkalit .
– Mun ipmirdan gal ahte okta sivva sáhttá leat dieđihanvuohki go 	galget cd:i 	bidjat luđiid maiguin áigu searvat .
SGP buvttadeaddji Brita Triumf ii leat ovttaoaivilis ahte dat dieđihanvuohki lea váttis go 	galget cd:i 	bidjat luđiid maid sádde SGP:i .
Dáid oktasaš dieđuid mii leat dál álgimin fas ođasmahttit ja dat 	galget golmma 	gillii , namalassii dáru- , eŋgelas- ja sámegillii .
– Jus mun 	galggan Parisii 	beassat leansmánnin , de lea unnimus gáibádus ahte máhtán sin giela .
Ártegin ja imašin 	galggai sutnje 	šaddat , go doppe ásse eará olbmot maiddái .
– Seamma olbmot mearrededje mii 	galgá soahtehistorjái 	.
– Go 	galggan olgoriikii 	vuovdit , de gáibiduvvo ahte mus lea guollerusttet mii lea EU-dohkkehuvvon , čilge Nils Mikkel , ja lasiha ahte jus dat ii leat , de ii oaččo eksportalobi , mii gáibiduvvo go vuovdá guoli EU-riikkaide .
– Mun 	galggan Porsangmoenii 	čakčat , mun illudan dasa , dadjá Marita .
Jus boaittobeale gilážiid olbmot eai 	galggašii meahccái 	beassat , de sáhttá dát dagahit ahte dákkár gilážat oalát jávket .
Su mielas dat 	galggai dárogillii 	ja báhpat galge gieldit konfirmeremis sin geat eai lean oahppan risttalašvuođa dárogillii .
Njukčamánus 2005:s mearridii Mátta-Várjjaga gielddastivra ovttajienalaččat ahte buot gieldda báikenamain 	galge sámegillii 	galbbat .
– Vuos oaččuimet dieđu leat gearggusin , dasto 	galggaimet johtui 	.
Dan iđida go 	galggaimet johtui 	bođii diibmu guđas diehtu eat galgga liikká vuolgit Áltái .
– Olu dain dieđuin mat 	galget neahttasiidui 	boahtit , leat dieđut mat mis leat juo ovdalaččas homofiillaid birra .
Dat mii dás šaddá erohussan , lea ahte neahttasiidu 	galgá sámegillii 	, vai sámegielagat maiddái áddejit neahttasiiddu sisdoalu , dadjá Pinholt , ja čilge ahte neahttasiiddus maiddái galgá leat vejolaš gávdnat dieđuid homofiila sápmelaččaid birra .
Dan mis mun 	galgenge dutnje 	muitalit … Dáččat leat boahtán maiddái deike eatge mii leat šat nu máŋggas eallimin maŋŋel go FeFo vuvddii sielus neavrái !
Buot aviissat mat 	galge buvddaide 	ja bensinstašuvnnaide vuovdemassii , maŋŋonedje ikte .
Buktagat 	galget gilvui 	sáddejuvvojit seamma hámis go mo kundariidda fállojit vuovdemassi , namalassii seammalágan skáhpuid siste mas čužžot dieđut biepmu sisdoalu birra , ovdamearkka dihte rávagihpa , mo guossohat ja nu ain .
Seammá áigemearri guoská doaluide mat 	galggaše geassegihppagii 	
Sudno mielas 	galggašii gánddaide 	čájehit njuolga ahte sii lohket juoidá .
Dievdu gii bissehuvvui ovdal go 	galggai girdái 	, ii dárbbašan guhkes áiggi jurdilit , ja mieđihii fievrredeames ruovttu vuššojuvvon viinni maŋŋil 17,5 sekundda .
Jus leat bagadusat maid 	galggat earáide 	ovddidit , de fertet máŋgga geardde čilget dan vai buohkat ipmirdit .
fertet dárkilit lohkat buot báhpiriid ovdal go čálát vuollái , earenoamážit jus 	galggat lupmui 	dán vahkku .
Dás ohppet maid oasseváldit mo jietnabáttiid 	galgá lávlumii 	ráhkkanahttit .
Dál sii doivot ahte 	galggašii doarvái 	cirgguhit gotkahája vai elefánttat garvet daid šattuid go dat eastadivčče elefánttaid billisteami olbmuid opmodaga .
Ávžžuhus kirkus lea ovttajienalaččat : sihke bismmat , Kirku válljejuvvon orgánat , Kirkoráđđi ja Kirkočoahkkin ahte ođđa jođiheaddji bisma 	galgá Osloi 	.
Jesus sárdnidii ahte juoga áibbas erenoamáš lei dáhpáhuvvame , ja olbmot 	galget dasa 	váldit oaivila .
Mii 	galgat ráhkisvuhtii 	láhčit stuorát saji ja buoret dili , vai min searvevuohta ja lagasbiras ain eambbo guoddá liekkusvuođa ja ovddasmorraša , beroštumi ja veahkkáivuođa , mii fas addá rabasvuođa ja buriid ja oskkáldas gaskavuođaid olbmuid gaskii .
Eatnasat doahttaledje ahte dáid beivviid 	galggai basuheapmái 	ráhkkanit .
Geahččal jurddahit jus mis ii livčče mihttu mehter ja de 	galggat muhtimii 	muitalit man guhkás don njuikejit sabehiiguin , movt son de galgá muitalit .
Suohkana sátnejođiheaddji lei geavvan buohccevissui ovdalaš juovllaid ja son 	galggai čuohpadeapmái 	.
Ferteje maid čiehkat dan juohke háve go biila 	galgá divohahkii 	.
Dát govva 	galgá jahkegirjái 	.
	Religion texts –
Geas ležžet bealjit , son gullos dán : Jos guhtege 	galggaš fáŋgavuhtii 	, de šaddá fáŋgavuhtii !
Áddjá muitala dan birra go su máttaráddjá 	galggai heajaide 	.
	Non-fiction texts –
6-jahkásaččat 	galge skuvlii 	, skuvlaáigi galggai viiddiduvvot vuolimus luohkáide ja seammás ollášuvvot asttuáigeortnegiin .
Dát guoská maid govaide mat 	galget govvavuorkái 	.
Dát guoská maid govaide mat 	galget govvavuorkái 	.
Jos seaguhus ii lean dássálaga , de 	galggai skovvái 	merket dán álbmoga mii lei gievrrabut ovddastuvvon .
NRK lei áigá juo mearridan ahte 	galggai Kárášjohkii 	ja šiehtadan Ruoŧa ja Suoma ovttasbargoguimmiiguin ( 2003:218-223 ) .
Aŋkke láve girdisealskáhppi nai šaddat loahpas dohkkehit ahte dat guđas geat 	galge iđđesgirdái 	, eai joavdda ovdal eahkesgirdái .
Áddjá ohcagoahtá gáktelummas ruhtaburssa , ja smiehtada guhká man sturrosaš ruđa son 	galggašii biigái 	addit .
Ja loahpas eai leat varra min árbevirolaš máhtut eanet go museagálvvut ja dalle vel sáhttit gáibidit ráđđehusas ahte sii 	galget midjiide 	hukset dán musea gosa vurket buot min vássán máhtu .
Skuvla 	galgá ohppiide 	fuomášuhttit dán vejolašvuođa ja movttiidahttit válljet sámegiel 2 loahppaárvvoštallama .
Ovdaskuvlla gurseplána mielde 	galgá mánáide 	, geain lea iežá eatnigiella go ruoŧagiella , maid addot vejolašvuohta ovddidit gielaset .
Dát bagadus 	galggašii oahpaheaddjái 	veahkážin ohppiid árvvoštallamis .
Danne ferte oahpaheaddji álo čállit // mearkut oahppi ovdáneamis // oahppamis , vai sus leat duođaštusat oahppi iešguđetlágan gealbbus , go omd. 	galgá váhnemiidda 	muitalit ja oahppi ovddosguvlui bagadit .
Son 	galgá ohppiide 	ovdagihtii muitalit makkár gáibádusat sus leat oahppi bargui , leaččai dal dat geahččaleapmi dahje muđui eará skuvlabargu .
Álgoálbmogiid birra daddjo ahte davviguovlopolitihkka 	galgá sidjiide 	veahkkin suddjet eallinbirgenlági , ealáhusaid , historjjá ja kultuvrra davviguovlluin .
Guovlluidgeavahusa válmmaštallamis 	galget dasa 	lassin váldojuvvot vuhtii sámi giellalága gáibádusat .
Deattuhin dan , ahte vuođđoláhkaváljagoddi lea gáibidan sámedikki beassat mielde sámi áššiid láhkaválmmaštallanbargui juo álggu rájes ja ahte ministeriijat 	galget dasa 	lassin váldit vuhtii sámedikki oainnuid .
Sámiid ruovttuguovllus vuovdesertifiserema auditeremiin 	galgá sámediggái 	ja nuortalašguovllus nuortalašráđđái álohii addojuvvot vejolašvuohta šaddat gullojuvvot .
	galgat vuorrásiidda 	háhkat arena gos sii besset juogadit iežaset máhtu minguin .
Jus ealáhus 	galgá alcces 	sihkkarastit stuorit oasi bohccobierggu árvoháhkamis , de ferte maid oastit ja jođihit rustega mas biergu gárvvistuvvo , ja dasa lassin ferte ferte viššalit márkanfievrredit buvttaga .
Jus bidjá čuoggá ja ođđa cealkaga seamma čuokkismearkka vuollái , de berre bidjat beallečuoggá čuokkiscealkagiid gaskii ja čuoggá fas lohppii : Vuosttažettiin 	galggat mánáide 	muitalit a ) man deaŧalaš leavssuid lea bargat ;
Jus áigodaga 	galgá mánuide 	dárkkuhit , de galgá čállit ná : 1996-02--1997-05 ( guovvamánus 1996 miessemánnui 1997 ) .
Dás lea sáhka árvogask kusteamis mii 	galgá sámiide 	leat buoremusat ávkin , miellaguoddohábmemiin oahppogirjji bokte ja oahpaheaddji bokte , ja sajádaga gaskkusteapmi hálddahusa láhčima bokte
Skuvllat 	galget dasa 	lassin ieža lágidit báikkálaš oahpaheaddjeassisteantta dahjege olbmo , gii praktihkalaččat ofelastá ohppiid skuvladiimmuin , erenoamážit smávit ohppiid ektui .
Dán málle mielde 	galgá resursaguovddážii 	dasto leat vejolaš oastit gáiddusoahpahusdiimmuid lullisámegielas ja sámi kultuvrras Brekken ja Elgå bajásšaddanguovddážiin regiovnna vuođđoskuvllaid várás , ja joatkkaskuvlaoahpahusaid ja rávisolbmuidoahpahusa várás skuvllaide ja olbmuide miehtá riikka Plassje joatkkaskuvllas .
Ja dađistaga lassána dađimielde go stuora lohku nuoraidskuvllaohppiin , geat ožžot sámegiela oahpahusa iešguđege gielddas , 	galget joatkkaskuvllaide 	.
Gielda 	galgá oahpaheddjiide 	háhkat dan mađe dieđu sámi gielas ja kultuvrras ahte sii sáhttet dan máhtu geavahit oahpaheamis .
SOF-guovllut Lága Sámedikki ja eará sámi riektediliid birra ( sámelága ) § 2-4 ektui 	galgá Sámediggái 	válljejuvvot golbma áirasa oktan várreáirasiiguin juohke 13 válgabiires .
Ja go 	galggaimet bearašdikšui 	, nu mo sii gohčodit dan ,
Norgga bealde fas hálle sámit ahte sin nuorat 	galggašedje alitohppui 	beassat , nu ahte beasašedje alla ámmáhiidda .
Eiseválddit dadjet ahte ovddemus 	galget dikšui 	váldot dakkár pasieanttat geat :
Ráhkkaneapmi : Dii boahtibehtet mánáidpoliklinihkkii tiimmu ovdal iskkadeami , dahje šiehtaduvvon áiggi jos mánná 	galgá mánáidossodahkii 	.
Su mielas dat 	galggai dárogillii 	ja báhpat galge gieldit konfirmeremis sin geat eai lean oahppan risttalašvuođa dárogillii .
Go 	galgen nuoraidskuvlii 	álgit , in ožžon dulkka .
Soai eaba muitalan manne mun 	galgen márkanii 	.
Dákko bokte cealkit ahte min mielas bákkolaš joatkkaskuvla ii leat vuogas johttisámi mánáide go sii vázzet 7 jagi álbmotskuvlla ja ožžot lassin 8. jagi gos sii eai oahpa ollu eanet , ja de ii leat go moadde jagi ovdalgo 	galget soahtevehkii 	, ja danne eai šatta gal namuhan veara ávkin váhnemiidda boazodoalus .
Iežas duogáža diehtit , ii leat makkárge bahán go 	galgá máilbmái 	vuolgit .
Ii oainnat 	galgan oahpaheddjiide 	váidalit .
Mun 	galgen Osloi 	maŋit vahkku , ja jerren lobi fitnat ságain .
	galggat munnje 	dárogiela hállat , itge garjjágiela
Lei váttis giđđat go 	galggaimet skuvlii 	vázzit .
	Galggaimet Osloi 	ja dan maŋŋil Oarjeriddui , gos bussevuoddji lei eret .
Čakčat 	galgen skuvlii 	Guovdageidnui , muhto dalle ožžon dieđu ahte ledjen beare boaris .
Ná de álggii sámegieloahpahus Hánssagietti ( Storslett ) skuvllas 1991 ' čavčča rájes , ja danin gárttai Viktor droššain johtit Reaššegeaži skuvllas go son 	galggai sámegieldiimmuide 	.
– Ii lean nu álki leahkit áidna gii 	galggai nuppi 	skuvlii mannat moatti geardde vahkus .
Dán jagi lei maid skuvllot olu eret , ja dieđut Reaššegeaš-oahppiide geat 	galge Hánssagieddái 	johtit , jávke gosa nu .
Soađi loahpas ledjen mielde norgga soahteveaga joavkkus mii 	galggai Skotlándii 	.
Sii geat orro ieš Reihvágis , ja geaid mánát eai lean leamaš internáhtas , háliidedje ahte sin mánáin maid galge leat seamma buorit , ahte sii maid 	galge internáhtii 	.
Áigá , don doložis juo , livččii dát luohti galgan gullot riddoguovllu olbmuide , livččii 	galgan sidjiide 	addit duostilvuođa čuovvolit , oadjebasvuođa alcceseaset .
Ovdamearkka dihte ii lean čielggas makkár gelbbolašvuođa gáibádusat 	galge oahpaheddjiide 	.
In beassan doppe luoikkahit maidege , šadden doppe johtit juohke háve go galgen sátnegirjjiid geavahit , ja šadden vel ánuhit instituhta bargiid luoitit mu sisa , go rievtti mielde in 	galgan dien 	girjerádjosii oba beassat ge .
Dákko bokte cealkit ahte min mielas bákkolaš joatkkaskuvla ii leat vuogas johttisámi mánáide go sii vázzet 7 jagi álbmotskuvlla ja ožžot lassin 8. jagi gos sii eai oahpa ollu eanet , ja de ii leat go moadde jagi ovdalgo 	galget soahtevehkii 	, ja danne eai šatta gal namuhan veara ávkin váhnemiidda boazodoalus .
– Báhppa ii oaččo dieđuid ahte Sámeskuvllas leat oahppit geat 	galggaše rihppaskuvlii 	, dahje ahte 5. klássa mánát galggaše oažžut biibbaliid .
Oahpaheaddjit 	galge dasa 	lassin máhttit « rivttes » sámi suopmana .
Eat mii álo skallen gullat go oahpaheaddji siđai min čuoččahit ráidun skuvlalanja olggobeallái go skuvladiibmu lei álgán ja mii 	galggaimet skuvlalatnjii 	.
De lei vuot muhtin sotnabeaivi go 	galggaimet girkui 	.
Oahpaheaddjit dušše čálle váhnemiidda dieđu go 	galggaimet siidii 	.
Ruhtavuoitu das 	galggai skuvlii 	, mii dárbbašeimmet ollu dávviriid ja oahpponeavvuid .
Sutnje dieđihuvvui ahte buot 	galggai sámegillii 	, muhto fuomášii oalle fargga ahte dat ii doaibman .
Dás áiggun váldit ovdan lagabui muhtun evttohusa Fokstadas makkár skuvlamodealla 	galgá mánáide 	geain sámegiella lea vuosttašgiellan .
Álgoáigge lei ain dat politihkka ahte oahpahus 	galggai dárogillii 	.
Guovvamánu 	galggai 3-4 	vahkkui mannat badjesámiid lusa geat ledje gaskkal Porsáŋggu ja Jáhkovuona .
Su mielas dat 	galggai dárogillii 	ja báhpat galge gieldit konfirmeremis sin geat eai lean oahppan risttalašvuođa dárogillii .
Ábo leai sakka áibbasan dan beaivvi maŋŋai , go son 	galggai skuvlii 	beassat .
De 	galggašii sidjiide 	juolluduvvot sierra stipeanddat , dat ruđat manašedje ávkkálaš ulbmilii .
Muittán bures go vulgen lulás ofelažžan muhtun oahppái , son 	galggai iskkadeapmái 	muhtun guovddážii .
Čáhcesullo gávpogii , gos 2/3/2 álbmogis leat láddelaččat ja 1/3/1 dáččat , geahččaledje ásahit láddelašluohkáid gos buot oahpahus 	galggai láttegillii 	, muhto láddelaččat ieža vuosttaldedje ja gáibidedje oahpahusa oktasaš dárogielluohkáin gos sin mánát ohppet buorebut dárogiela go muđui .
Skuvlla oahpahus 	galgá dárogillii 	.
Go 	galgen nuoraidskuvlii 	álgit , in ožžon dulkka .
Go ipmirdin ahte dál 	galgen gáddái 	, de čirron .
Adolf geahččalii čilget munnje ahte deike mun 	galgen skuvlii 	, muhto mun in gillen šat ipmirdit .
Sotnabeaivvi gal lei friddja earret de go 	galggaimet ipmilbálvalussii 	girkui .
Dalle áhkku mearridii ahte son maid 	galggai giddagassii 	.
– Ovdal go 	galgen skuvlii 	álgit , bessen gullat : – Don fertet oahppat lohkat ja čállit ovdal go boađát skuvlii – go oaččut « frøken Anderssen » .
Dalle go 	galgen skuvlii 	álgit lei ođđasishuksenáigi ja skuvllat eai lean vel gárvvisin huksejuvvon .
Soai eaba muitalan manne mun 	galgen márkanii 	.
Jahkebeale ovdal go mun álgen de hupmagođiiga ahte čakčat 	galgen skuvlii 	.
Juohke háve go áhkku 	galggai boradanlatnjii 	gealláris , de váccii son hui ravddas , seaidneguora , vai stuorit mánát eai galgan su njeaiga viehkat .
Juohke mánás 	galggašii mátkái 	mielde ullorátnu , jos vejolaš .
Nu go dat bisma gii álggii su maŋŋil , Johan Christian Schønheyder , de son gáibidii ahte buot oahpahus ja sárdnideapmi 	galggai dárogillii 	( dánskkadárrui ) , ja su dáhtu mielde heaittihuvvui Seminarium Lapponicum .
Go 	galgá earáide 	muitalit muhtin fáttás , de ferte ieš hui bures diehtit fáttá birra .
Sámi miššuvdnasearvvi Norsk Finnemisjonsselskap váldočálli Heiervang cealká das ahte dakkár skuvla lea « njulgestaga našuvnnalaš bargun » , ja ain viidáseappot ahte oahpahus 	galgá sámegillii 	.
– Muittán okte go 	galgen mánáide 	oahpahit bustávaid .
Ja son háliidii ahte mun 	galggan sutnje 	gođđit sámebusira ja gahpira .
Son lei fargga čieža jahkásaš ja 	galggai skuvlii 	álgit .
Go gerge boradeamis , de 	galge skuvlii 	vuolgit .
Dát 	galggai sutnje 	leat fálaldahkan daningo su namma lei Romanoff ( Romanov ) , seamma sohkanamma go cáras .
Skuvladirektevra oaččui dikki bokte dohkkeheami dasa ahte dát mánát maid 	galge skuvlii 	.
Váhnemat 	galget dutnje 	addit eanet iešmearridanvuoigatvuođa dađistaga go boarásmuvat .
	Fiction texts –
- N aa , datge vel 	galge dasa 	, šuohkihii Birgget .
Heaika doamihii olggos ja vázzilii Nillá geahčai , árvalii manadettiin moadde sáni Ándde-guoktáin , geat leigga šiljus sirremin , mat buđehat 	galge beldui 	gilvojuvvot ja mat jullo gusaide biebmun .
Nillá diđii juo muitalit ahte ođđa skuvlla várás 	galggai Girkosiidii 	huksejuvvot stuorra gárdin , mas ledje buotlágan bálvalusat .
Dassái 	galggai juogaláhkai 	fidnet áiggi gollat .
Guvlui lei báhcán soames vuorrasut badjealmmái gieldda olbmuid bohccuid geahččat , ja Ivvár 	galggai sidjiide 	veahkkin .
Amerihká guossit 	galge čieža 	áigái eahketdoaluid álgimii ja dassái galggai leat buot gárvvis , borramušat beavddis ja musihkkarusttegat doaibmanláhkai .
Geahppa sisbargguide beasašii easkka čavččabeallai , dassážii 	galggai juogaláhkai 	geahččalit ceavzit .
— Ingá diehtá son 	galgá skovlái 	álgit .
De nuorra geret dadjá : dievddut nai 	galget gievkanii 	!
- Dáidá viimmat dal 	gálgat dutnje 	velggiidis , dat viervválaš háneslággá , Rávdná báhkkuda .
