Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	adden 	ja gudnejahttin . ¶
Bataljona ii 	adden 	kártta ¶
– Bataljona mii lea leamaš guovllus ii leat 	adden 	min sárgon kártta . ¶
Lean 	adden 	, ahte prošeavtta jođiheaddji oaivvilda ahte okta sivain fárremis lei ruhtadilli . ¶
– Muhto dál 	adden 	manne leat nu ollu áššit báhcán bealledágus gieldda ossodagain go politihkkárat eai boađe čoahkkimiidda , eaige bearráigeahča barggu . ¶
Lei somás mátki earret go ahte suoma bussevuoddji ii 	adden 	ahte gaskkahagaid lei busse dego sávdnji . ¶
Eai sii 	adden 	ahte mii leat gergosat čađahit stuorra sosiála revolušuvnna Mexicos ja guovllu eará riikkainge . ¶
–<\q>Mun gal 	adden 	bures Magnhilda ja earáid geat dáppe orrot , Sæther álggaha . ¶
Gaskavahku čilgii Stangnes NRK Sámi Radioi ahte ii lean 	adden 	ahte galggai lean sápmelaš go lea sámi riikkajoavkkus . ¶
– Nu go lean 	adden 	ášši de eai leat eavttut galgat leat sápmelažžan . ¶
Lean 	adden 	sin dan lahkái ahte dát lea doarvái beassat mielde . ¶
Dát ii baldán gal mu , muhto 	adden 	bures ahte dát balddii moaddelot vuorraset olbmuid olggus girkus gasku konseartta . ¶
Geahččalan dahkat ahte mun juobaje 	adden 	muhtinláhkai luođi tittela . ¶
– Muhtun ovdaságaid áššiin in 	adden 	maidige , lohká sámegiela studeanta Marko Marjomaa . ¶
Eai dat 	adden 	eambbo . ¶
Mii eat leat 	adden 	Sámeráđi rolla boastut , muhto min oainnu mielde Sámeráđđi ii maiddái sáhte leat orgána , gos smávva verddejovkkoš dahká mearrádusaid . ¶
– 	Adden 	gal movt galgá , dajai son . ¶
Hánsa lohká iežas dego 	adden 	juo dalle , ahte go boarásmuvvá , de leat sus várra ain návccat bargat juoga . ¶
Muhto 	adden 	ahte olbmot eai viša dáhttut dulkka go dihtet dilis , lohká Anu Avaskari . ¶
Ovtta dattetge 	adden 	. ¶
Ná galggai mannat , ja vaikko livččiimetge árat diehtán jearahallat ovdaolbmoevttohasa , de eai livčče 	adden 	go bures dovddus ja sajáiduvvon politihkkáriid gaskkas jearahit . ¶
In 	adden 	mo válljet mii áviisii galgá leat , man ollu čáhká siidui , mo govaid dasa mearridit , mo gávnnahit mii galgá leat vuosttas siiddus jna. . ¶
Ollugat jerret mas eretfárren sáhttá boahtit ja mo dan eastadit , ja dađi mielde go lean 	adden 	, de lea ráđđehus ja stuorradiggi mielas geavahit ruđa prošeavttaide ja nuppástusaide mat jorggehit dili . ¶
	Adden 	, ahte eai hálit johtit beassášvahku , muhto liikká lea váidalahtti go Beaivváš ii sáhte boahtit . ¶
Dát bihtá doaibmá , vuosttažettiin go doaimmahus lea 	adden 	muddet dan . ¶
Olbmot , geat ledje 	adden 	coggat albma bivuid , návddašedje Mari Boine konseartta . ¶
In muitte justa maid almmái dajai munnje , go mun in 	adden 	maidige das maid son hálai , muhto oabbán gal dagai . ¶
- Dalle gal ledjen áibbas boastut 	adden 	. ¶
Máŋga fránskkagielalačča birra máilmmi leat 	adden 	boasttuvuođa ja heaitán geavaheamis « droits de l « Homme » . ¶
Jođiheaddjit bivde riikkaidgaskasaš veahki lasihit eamiálbmogiid čehppodatdási , 	adden 	dihte mo birasnuoskkideapmi ja biebmonuppástusat čuhcet olbmuide ja elliide . ¶
Dan gal 	adden 	bures , muitala Polmak Gjestegård doalli Ester Utsi . ¶
– In jáhke gieldda leat 	adden 	man stuorra márkanat stadioncrossa lea . ¶
	Adden 	ahte mu buoremus beassášbeaivi nogai dien uhca romis muohtabáru lusa dás moaddelot mehtera maŋábeallái gosa dál lean bissánan . ¶
Sii leat 	adden 	ahte gilvalančehppodagas boahtteáiggis lea IT-ovddideapmi dehálaš , dajai Gates malaysalaš ealáhussii . ¶
Sáhtán muitalit dutnje Lilletun ahte ledjen gáfat čeahppi lohkat dárogiela skuvllas , muhto in 	adden 	in buollán sánige . ¶
In 	adden 	maidege firpmiin gal . ¶
– 	Adden 	gal bures ahte álo ii leat nu álki čuovvut buot min « bargonjuolggadusaid » , ja ahte muhtumin fertet njielastit dan maid oažžut . ¶
Bargit leat 	adden 	mo fertet birget áibbas unnán resurssain . ¶
Dán lea Sámedikki sadjásaš presideanta ja NSR:a ovddasteaddji Ragnhild Nystad 	adden 	. ¶
	Adden 	gal ahte čálli iešdovdui dahká buori gullat iežas divttaid earáge gillii go duššebeare su eatnigillii . ¶
Mun 	adden 	dál ahte buohkat leat go ožžon dus sin « oasi » sihke politihkkárat , organisašuvnnat , eaŋkal olbmot ja nu ain . ¶
Jus leat 	adden 	riekta , suomabeali bargit geat orrot ja barget Suomas , eai mávsse oadjodivada daningo bargoaddit mákset dan bargiideaset ovddas . ¶
– Mun in leat vel geargan , leango mun dál 	adden 	dán ášši riekta , Aslak Niittyvuopio . ¶
– Sii leat 	adden 	ahte mađe eanet bijat ruđa dađe buoret dinenvejolašvuohta das lea . ¶
Várra ledje nu ollu báhpárat ahte muhtimat eai 	adden 	maid sii mearridedje ? ¶
Eat 	adden 	maid boasttu mii leimmet bargan , go ráŋggaštuvaimet nu garrasit , šuohkiha Murray . ¶
– 	Adden 	váhnemiid . ¶
Linjjáid gaskkas maid dovdo ahte sátnejođiheaddji Anton Dahl iige leat 	adden 	man vuđolaččat lea dájuhuvvon , go sávvá bures boahtima lágideapmái mii duođai geasuha dan mađe vuovdima ja eallima su suohkanii , ja ahte son diehtemeahttunvuođas gudnejahttá soames gáddálasa , geat valástallama namas ná unohasat láhttejit . ¶
– Vaikko in mange láhkai doarjjo veahkaválddálašvuođa , de muhtinláhkai 	adden 	ahte olbmot hálidivčče suodjalit eatnamiiddiset , lohká Eira . ¶
- Sii ohppe gal bustávaid , muhto eai 	adden 	maid lohke , muittaša Margarethe Wiig . ¶
	Adden 	ahte suohtastallan eará mediain , NRK Sámi Radioin , sáhttá leat somá . ¶
Bártni eadni lea Finnmark Dagbladii muitalan ahte olmmái ii lean háleštan bahádahkkin árat eahkedis , ja ahte ii 	adden 	maidige go fáhkkestaga njuikii okta olmmái biillas olggos , niibi gieđas , ja čuggii kárášjotgándda . ¶
– 	Adden 	go nuorat vuollánit dákkár áššiin , muhto bivddán sin ipmirdit ahte mearrádusat leat dahkkon min váikkuheami haga , lohká Kjell Sæther . ¶
Sii leat 	adden 	ahte lea olles álbmoga eallinvuođu ja birgenvejolašvuođaid birra sáhka , iige dušše gii galgá beassat lubmet ja goas . ¶
Dađe bahát , jus juo leat riekta dan moivvis 	adden 	, de lea Finnmárkku Bargiidbellodat maid dadjan ahte galgá leat Finnmárkku eanahálddašeapmi masa fylkkas nammadit vihtta ja Sámedikkis guokte áirasa . ¶
– 	Adden 	sámegiela veaháš , muhto hállan lea nuo ja ná . ¶
– Sii han soitet leat 	adden 	, ahte ii ábut vuostálastit . ¶
Tiina ja Nea lohkaba iežaska 	adden 	visot . ¶
– Orru leamen nu ahte justisministtar duođaid lea 	adden 	man stuorisin dát váttisvuohta lea šaddan , illuda Vera Lysklætt guhte doaivu eiseválddiid johtilit álggahit doaimmaid . ¶
– 	Adden 	mii lei duogábealde . ¶
Muhto mu mielas lei nu váttis go isit ii 	adden 	. ¶
Danin leat álo eanaš Ruŋggu mánát ja nuorat unnán dahje eanet 	adden 	sámegiela . ¶
Ean 	adden 	su álggus albmaláhkai , danin go lei nu alla musihkka ja riedja . ¶
« Dál leat don vissa viehka boastut 	adden 	» , Elle Risten dieđihii . ¶
Elle Risten lohká ahte livččii eanebu 	adden 	dán fálaldagas , jos sudnos livččii earálágan biktasat . ¶
– Livččen veaháš 	adden 	jos munnos livčče « minišørta » ja oanehis « tohppa » , ja dasa lassin badjelmearálaččat vuoidán iežame . ¶
– Go gieldda politihkkárat leat dán 	adden 	, de sáhttá bargagoahtit áŋgireabbon Sámi servodaga ektui . ¶
– Mánnáhan ii 	adden 	, ahte ahte áhčči ii šat boađášii min geahčái . ¶
Sámi media- ja dutkanbirrasat leat goit 	adden 	Sámedikki mearrádusa nu ahte Sámediggi ii ane sámi dutkanbirrasiid leat sorjjasmeahttumin ja gelbbolažžan dahkat dákkár barggud . ¶
Sámi media- ja dutkanbirrasat leat goit 	adden 	Sámedikki mearrádusa nu ahte Sámediggi ii ane sámi dutkanbirrasiid leat sorjjasmeahttumin ja gelbbolažžan dahkat dákkár barggud . ¶
Dađe mielde go lean 	adden 	NSR:a otnáš njunnošiid , go lean njuolgga jearran sihke presideanttas ja stivraovdaolbmos , de lea organisašuvnna oaivil ain dat ahte sámi servodaga ásahusat // organisašuvnnat , eai ge dáža , galget oamastit ja stivret sámi aviissaid . ¶
Dan eat 	adden 	mii gal , ii bat juovlabeavddis leat lohpi bargat maid áigu ? ¶
	Adden 	buohkaid geat háliidit eanet bálkká , muhto mii fertet álo geahččat áššiid realistalaččat . ¶
Dat šohkka , go gulat , dagai ahte in 	adden 	ahte lea duohta . ¶
	Adden 	sin bures , muhto ii álo dárbbaš sániid , dušše dollestit oalgái . ¶
– Diekku manai veahá boastut , nugo mun lean 	adden 	, mieđiha Soleng gii lea váidon rihkkun bargo ovddasvástádusa . ¶
– De 	adden 	gal bures , muhto dán birra son lea galgan juo diehtit go osttii dálu . ¶
Muhto 	adden 	gal maid ahte sámegielas ja dárogielas leat erohusat go galgá govvet juoidá . ¶
– Dát gal ferte leat leamaš buvttadeaddji gii ii leat 	adden 	mii Intrigue lea . ¶
— 	Adden 	bures manne láhka lea ráhkaduvvon nie go lea . ¶
– Eai 	adden 	kritihkkárat maidige šamanismmas ja árktalaš jurddašanvuogis , oaivvilda Pedersen . ¶
	Adden 	bures , lohká Green ja mieđiha ahte lea suddu go guokte stuora banda leat dieđihan jávkama . ¶
Vaikko vel olbmot eai 	adden 	giela , de sii liikojedje čájáhussii . ¶
Nie galgá ge luohti leat , ja dan lea Inga Juuso 	adden 	bures , go olbmot sihke dážat ja sápmelaččat speažžu issorasat . ¶
Intrigue lea 	adden 	ja fuobmán ahte ii ábut dušše máhttit čuojahit , lávlut ja juoigat buori rock-luđiid . ¶
– Mon 	adden 	ahte isidis lea našunálabeaivi , ja dat lea buorre , juohke našuvnnas galgá leat dákkár beaivi , mis sápmelaččain lea maid Sámeálbmot beaivi , guovvamánu 6. beaivvi . ¶
– Jos leaš nu ahte sámegiella oalát galgá jávkat sihke čálalaččat ja njálmmálaččat mediain , de mon 	adden 	sámediggeáirasa Johansena . ¶
– Mon 	adden 	sátnejođiheaddji Sæthera ja eará gielddaid jođiheaddjiid , go áiggošedje háhkat eanet dárbbašuvvon bargosajiid iežaset gielddaide , lohká Nystø . ¶
Jo , 	adden 	dieđusge ahte sámediggepolitihkkárat eai leat ožžon dán lágan válddi ; nu ahte lea vejolaš ásahit albma iešmearrideami buot servvodat surggiin . ¶
– Anán gildosa vahágin , muhto 	adden 	bures go leat gieldán herggiid buktimis rastá riikarájiid . ¶
Dál lea geavvan maid guođđoheaddjin , máid japanalaš ii várra 	adden 	goasse jurddašit go vuojána ráhkadii . ¶
– In leat vel albma láhkai 	adden 	ahte dál lean ožžon alccen doalloovttadaga maid lean gáibidan dan rájes go áhčči heittii bohccuiguin . ¶
Du vuolggasadji lea hui buorre nu guhkás go mun lean 	adden 	, dovdet bures ambulánsajođiheami ja váttisvuođaid áiggiid čađa . ¶
, de eai leat 	adden 	maidege . ¶
Čujuhan Ságat aviisii gos birasgáhttenministtar Siri Bjerke lea 	adden 	ášši , namalassii ahte áidna molssaeaktu mii mis dál lea , lea sierra hálddašeapmi vuođđuduvvon sámi vuoigatvuođaide . ¶
Dađe bahát eai leat sii geat dál ovddastit Finnmárkku Stuorradikkis dan 	adden 	, eai ge dat ge áirasat geat dál áiggošedje Stuorradiggái , earret Sámeálbmot Bellodat . ¶
	Adden 	gal bures ahte SVL ii dáhto geatnegahttit iežaset joavkku nissonjienasteadjiid ektui , danin go dássážii leamašan beare almmáiolbmot geat leat ovddidan SVLa politihka Sámedikkis . ¶
– Mun álggos in 	adden 	mii lei boasttut nieiddažiin . ¶
Son gal ii nu olu beroštan das go ii 	adden 	buot maid lávlo . ¶
Eat jáhke ahte Finánsadepartemeanta livččii rievdadan njuolggadusaid jos eai livčče 	adden 	makkár árbeveirut boazodoalus leat . ¶
Mun 	adden 	ahte muhtumat leat garrasit du viggan deaddit roavva soaibmamiiguin Norgga Sámiid Riikkasearvvi ( NSR ) vuostá . ¶
Dattetge 	adden 	mas sii ballet . ¶
Iige dáidde 	adden 	mo dainna dajáldagain dagai iežas bogostahkan . ¶
– Olmot orrot boastut 	adden 	. ¶
– Vaikko vel mun in boađe čállit nama vuollái , de 	adden 	bures go olbmot Kárášjogas leat álggahan nammačoaggima Mega dálkkasvuovdima vuostá . ¶
Danne go Iŋger lei nu nuorra ja ii albma láhkai 	adden 	dagus váikkuhusaid , de lágamánni sáddii su ášši gonagassii Københápmanii ja bivddii árpmihit su . ¶
Doppe gos ii leat nu nanus sámegiella , doppe 	adden 	ahte njálmmálaš giella lea dehálaš nannet . ¶
- Mii leat 	adden 	manne áiggun min golbmasa govvet fárrolágaid , dadjala Frank Nilsen . ¶
- Jus oktage lea 	adden 	mu duolbmume sámi álbmoga , de šallošan . ¶
- Jus lehpet 	adden 	ahte mun áiggun sámegiela áibbas jávkadit skuvllas , de lea dat boastut . ¶
Muhtimat leat maid 	adden 	min nu ahte ii oktage galgga beassat sámástit , šuohkeha Dagsrevyen hoavda Anette Groth . ¶
– Muhto nu go mon lean 	adden 	, de gielddabeales plánejit menddostuorrát ja divrasiin . ¶
– 	Adden 	ahte nealgudeami leat vákšon , dat han norgga lága mielde lea láhkarihkkon . ¶
Ii 	adden 	dárogiela ¶
Vaikke buot paragráfain ii sániid addenge , de nuhan dat mánnánge lei , jos it 	adden 	, de dovdat gal liikká gártet . ¶
Mii leimmet 	adden 	ahte juohke distánsas oččot leat mielde njealjjis , muhto AGW njuolggadusaid mielde sáhttá váldit dušše njealjje oasseváldi guđe ge ahkejoavkkus , čilge Balto . ¶
Eanetlohku ággá lei ahte ILO gieđahallá 2000 raporta , ja ON lei 	adden 	boastut vuosttaš raporteremis ahte olles Sámedikki hilgu Finnmárkolága evttohusa . ¶
	Adden 	ahte sáhttet šattat váttisin jus leat beare ollu gávppogis , muhto oalát ii galggaše jávkkadit , lohkaba turistta guovttos . ¶
ÒMun 	adden 	manne mášggasiidda lea váttis dohkkehit juoigama , Ò muitalii boares juoigi munnje oktii , ja jurddašii iežas mánnávuođa áiggi birra : ÒNu mášggas juige go ledje juhkaluvvan , ja sii snulle ja juge fasttit earáid birra . ¶
Das lea reportar 	adden 	Skådena boastut ja čállán ahte su váhnemat eaba leat šat eallime . ¶
- Leat 	adden 	ahte ollusat eai leat duhtavaččat dálá diliin . ¶
- 	Adden 	ahte muhtimiid mielas lea prinsihppaášši , muhto in ádde ahte ná garra riiddu lea álggahan . ¶
Muhtun láhkai gal 	adden 	bures ahte bohccot ja bohccobaikkat váivvidit gávpotolbmuid . ¶
Dál mun 	adden 	buorebut . ¶
Eaige buohkat 	adden 	dahje beroštan min rahčamušain . ¶
Eaige eiseváldit 	adden 	munno leat duođas ovdalgo streikeime . ¶
– Easkka maŋŋá lean 	adden 	man dehálaš sin rahčamuš lea leamaš . ¶
Min Áigái son dovddasta ahte su politihkár áigodagas ii leat Hammerfeastta gávpotstivrra goassige 	adden 	ahte boazodoalus livčče vejolašvuohta ovdánahttit Hammerfeastta gieldda . ¶
Ieš gal 	adden 	bures SáB:a ulbmiliid . ¶
– Dađibahábut ledjen stivrramearrádusa boastut 	adden 	. ¶
Vaikke buot paragraffain ii sániid addenge , de nuhan dat mánnánge lei , jos it 	adden 	, de dovdat gal liikká gártet . ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	adden 	oaivila . ¶
Ii , dan gal 	adden 	bures ! ¶
Ii , dan gal 	adden 	bures ! ¶
Maiddái stáhta lea maŋimuš áiggiid áddegoahtán Ohcejoga dili , namalassii 	adden 	, ahte lea váigat ja divrras fállat bálvalusaid gieldala aide guhkes mátkkiid geažil , KotimŠki dadjá . ¶
Doppe gos ii leat nu nanus sámegiella , doppe 	adden 	ahte njálmmálaš giela lea dehálaš nannet . ¶
“ Mun 	adden 	manne máŋgasiidda lea váttis dohkkehit juoigama , “ muitalii boares juoigi munnje oktii , ja jurddašii iežas mánnávuođa áiggi birra : “ Nu máŋggas juige go ledje juhkaluvvan , ja sii snulle ja juige fasttit earáid birra . ¶
Go moaittán Sven-Roald Nystø ođđajagisártni , mas presideanta bidjá gažaldaga leago riekta jorgalit dárogielat dokumeanttaid sámegillii , de NSR jođiheaddji Keskitalo oalat moivváska ja čuoččuha mun in leat 	adden 	presideantta sártni . ¶
– Dađibahábut ledjen stivrramearrádusa boastut 	adden 	. ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	adden 	oaivila . ¶
Maiddái stáhta lea maŋimuš áiggiid áddegoahtán Ohcejoga dili , namalassii 	adden 	, ahte lea váigat ja divrras fállat bálvalusaid gieldalaččaide guhkes mátkkiid geažil , KotimŠki dadjá . ¶
Dál duostaba hállat sámegiela , vaikko agibeaivvi leaba 	adden 	buot . ¶
– Viimmat leat eiseválddit 	adden 	leat dárbbu sierra diehtojoahkinkampanjii , lohká Davvi Nuora jođiheaddji Christina Henriksen . ¶
Ja dii gal ehpet leat 	adden 	baikkage . ¶
Soaitá mun easka dalle 	adden 	go dohko boađán mii dat lea . ¶
– Mun 	adden 	Johan Mihkkala bures . ¶
Jos lean riekta 	adden 	, de Sámi servodaga mihttomearrin lea ain gáhttet ja ovddidit sámegiela . ¶
– Muhto jus gieldda mearrádus čuohcá nu garrasit ahte dat oalát bilida meahcástankultuvra , de 	adden 	bures jus Viktor Trosten « nødvergeparagrafa ” , lohká Biti Pedersen . ¶
Trosten moittii ášši Siviliáittardeaddjái , danne go oaivvildii ahte ii guovllustivra iige gielda leat 	adden 	boazodoallolága njuolga , ja ahte Deanu gielda ii leat ollásit su ohcamuša meannudan . ¶
– Mun 	adden 	jus Kárášjoga boazodoallit jurddašit dainnalágiin ahte bonusiid dihte lea eanemus gánnihahtti cegget eanemus lági mielde bohccuid , muhto válljen jáhkkit ahte boazodoallit eai cegge eambbo bohccuid go dan maid eatnamat guddet , lohká Johan Ingavald Hætta . ¶
- Mii leat 	adden 	ahte dása leat čadnon riiddut . ¶
- Nugo mii leat 	adden 	, de lea boazodoallu dohkkehan evttohusa gokko máđi galggašii leat , vástidii Henriksen . ¶
Olmmái guhte galggai lean aiddo hávkamin , lei siste viesus iige 	adden 	mii dáhpáhuvai . ¶
– Justisdepartameanta ii leat 	adden 	ášši , lohká Graver NRK Sámi Radioi . ¶
Dološ sápmelaš han ii livčče 	adden 	maidege dálá olbmuid háleštallamis . ¶
– Ministtar ii leat riekta 	adden 	mii Sámi parlamentáralaš ráđđi lea . ¶
Lohken Min Áiggi ođđasiid geatkkiid goddimis , muhto in gal 	adden 	mii lea dat ¶
– Son gal ferte leat 	adden 	boastut . ¶
– 	Adden 	ahte dát sáhttá suhttadit . ¶
Liikká 	adden 	bures manne Ole Henrik Magga ja eará sámi njunušolbmot dál rogget dán ášši bajás . ¶
Lea oalle heahpat gildii go eai leat vel 	adden 	mákkár geatnegasvuohta ja ovddasvástádus gielddas lea ollašuhttit giellalága ulbmiliid . ¶
– 	Adden 	ahte bohccidit gažaldagat gosa ruđat mannet . ¶
- Mun lean 	adden 	ahte dát ruđat leat oassin gieldda sisaboađus . ¶
- Dá ii leat dohkálaš vuohki mo ovddidit áššiid Sámediggái , muhto 	adden 	gal ahte sii ledje gáržžohaddan nu sakka ahte ii lean eará vejolašvuohta , ná lohká Sámedikki čoahkkinjođiheaddji Josef Vedhugnes dasa go oahppováillat olbmot gaskavahku kuppejedje dahje rivvejedje Sámedikki sárdnestuolu . ¶
– Muhto 	adden 	go eai loga diehtán njuolggadusaid , muhto ii leat olmmoš vierru rivvet sárdnestuolu . ¶
	Adden 	dáid olbmuid , go lean dovdan dan iežas rupmašis . ¶
- Dá ii leat dohkkálaš vuohkki mo ovddidit áššiid Sámediggái , muhto 	adden 	gal ahte sii ledje gáržžohaddan nu sakka ahte ii lean eará vejolašvuohta , ná lohká Sámedikke čoahkkinjođiheaddji Josef Vedhugnes dasa go oahppováillat olbmot gaskavahkku kuppejedje Sámedikki sárdnestuolu . ¶
	Adden 	ahte dál hálida veahá ráfi ja jaskatvuođa . ¶
In 	adden 	maidege . ¶
– Luoddageažis ii leat eará okta dállu , muhto eat leat goasse ge 	adden 	manne dát luodda galggai vári badjel mannat . ¶
– Mun 	adden 	bures ahte muhtun riikajoavkohárjeheaddji háliida buoremus vejolaš joavkku . ¶
Fylkkasátnejođiheaddji Helga Pedersen jáhkká ahte bivdiid searvi lea oalát boastut 	adden 	ášši . ¶
Livččen 	adden 	jus livččii árvalan časkit oktii Davvi-Romssa ja Finnmárkku fylkkagieldda . ¶
Dán girjji geavahat veahkkin dárkkistit bargguid dahje iskat leatgo 	adden 	bargobihtá . ¶
– Dattege 	adden 	bures manne sii hálidit fárret , ja áiggun ságastallat ášši stivrain dán vahkus . ¶
Bivdi logai iežas 	adden 	nu ahte lea leamaš gižžu gos maiddái hávlár lei geavahuvvon , ja ahte skuohtta lei bávkkihan dáhpedorpmis . ¶
Leat maiddái leamaš doaktárat geat eai leat 	adden 	dárogiela , eaige sámegiela , logai Máret Sára interpellašuvnnas . ¶
Dál leat olu olbmot máilmmis geat leat 	adden 	man dehálaš lea beroštit buot eatnama olbmuin . ¶
Nu go mun lean 	adden 	Ole Heandarat Magga cealkámušaid , de das leat guokte beali : ¶
Boastut 	adden 	Aikio ¶
Gjengseth jáhkká ahte sámi servodat dan áigge ja maiddái maŋit áiggis lea boastut 	adden 	Aikio áigumušaid sámiid ektui . ¶
– Muhto mun 	adden 	Matti Aikio áigumušaid . ¶
Dien muddui mun 	adden 	su barggu . ¶
- Nugo mun lean 	adden 	, de lea easka dál čielggas geat sáhtáše leat vejolaš evttohasat NSR bealis , dan bottas go bargiidbellodagas leat jo golbma evttohasa . ¶
– Dađi bahát eai leat mis ruđat dasa , muhto mun 	adden 	Olli čuoččuhusaid go boahtte jagi han leat válggat , lohká Pedersen . ¶
– In leat 	adden 	Sámedikki systema . ¶
– Mun jáhkán ja doaivvun ahte olbmot leat 	adden 	ahte mun lean viggan bargat sin ovddas . ¶
– Almmáiolbmot eai leat velge 	adden 	, ahte olbmot eai šat váldde duođas Sámedikki jus eambbo nissonolbmot eai oaččo sihkkaris sajiid . ¶
– Mun 	adden 	bures olbmuid suhttat go lohket Sámedikki ruhtageavaheami birra aviissain . ¶
– In 	adden 	maidege go NRK Sámi Radio riŋgii ságastit ášši birra . ¶
ÁITTII : Kárášjohkalaš beakkán niiberávdi Hjalmar Strømeng áittii diibmá heaitit ráhkadeamis gazirdanbuvkkuid ( Niskadanbuiku oarjesuopmanis ) go Norgga eiseválddit ledje 	adden 	EU-njuolggadusaid dainna lágiin ahte dakkar niibbiin ii leat lohpi bohcco goddit . ¶
Son lea čađat muitalan iežas leat čállinváillagin , juste dakkárin go eanas sápmelaččat leat , go lea sáhka das ahte máhttit čállit sámegiela , ja juolludeaddji eiseválddit leat 	adden 	dán váttisvuođa . ¶
Sii leat 	adden 	ahte lea váttis bargat Sámedikkis go olmmoš ii máhte čállit sámegiela . ¶
– Dan mearrádusa mun 	adden 	hui bures , lohká Lill-Therese . ¶
Mediaid haga eai livčče olbmot 	adden 	makkár váikkuhusat goarveskávvalis leat . ¶
– 	Adden 	bures daid válgabiiriid geat vuostálastet addimis jienastanvuoigatvuođaid daid njealljásiidda . ¶
Muhto NBR jođiheaddji Aslak J. Eira lohká Sámi Radioi ahte stáhta ii leat 	adden 	boazodoallohástalusaid . ¶
Čállosis vuhttui ahte son ii jogo dieđe terrorismma historjjás ja dálá áiggis olus maidige dahje son lea 	adden 	olles terrorisma-doahpaga hui apmasit dahje lei man nu eará sivas ráddjen ášši guoskat dušše ovddeš Sovjetlihttui ja dálá fundamentalista-muslimaide . ¶
– De 	adden 	, ja ferten šállošit . ¶
Eat duostan , eatge 	adden 	gáibidit maidige . ¶
– In 	adden 	dalle jearrat mearrida go dat lohku doarjagiid mii lea maŋŋel njuovvamiid . ¶
Baicca lea nu , ahte Sámediggi ii velge leat doarvái bures 	adden 	man dehálaččat sámi valáštallamat leat sámi iešdovdui . ¶
– Muhto mun lean 	adden 	ahte ollu dálá boazodoalu agronomain leat leamaš hirbmat guhká iežaset virggiin , lohká Forsell . ¶
- Vaikko in 	adden 	justa mas lei sáhka , de áddejin ahte lei duođalaš ášši , go juo nu máŋggas nissoniin čirro ja lávlo beaktilis sálmmaid . ¶
Mis lea nana jáhkku dasa ahte Sámedikki cealkámuš ja bargu muđui lea okta dain deaŧaleamos ákkain go Stuorradiggi lea 	adden 	ahte Ráđđehusa evttohus ii sáhte meannuduvvot almmá stuorra rievdadusaid haga . ¶
- Mu áddejumi mielde lea presideanttas seamma oaidnu go Bargiidbellodagas , go lean su 	adden 	baicca dainna lágiin ahte lágas galgá boahtit ovdan ahte sámiin lea oamastanvuoigatvuohta Finnmárkkus , muhto maiddái earáin jus leat earát geain leat vuoigatvuođat , lohká Egil Olli . ¶
Go eai leat dahkan dan , de dat duođašta ahte eaige sámi politihkárat leat 	adden 	makkár heahtedilis sámi čáppagirjjálašvuohta duođaid lea . ¶
	Adden 	gal dieđusge olbmuid geat váidet go mii eat ráhkat prográmmaid sin guovlluin , muhto mis eai leat doarvái bargonávccat . ¶
	Adden 	bures go eai buohkat liiko dasa . ¶
- Dáppe Oslos mun beasan juohke beaivve fitnat vuodjamin ja mun 	adden 	iežan vuodjanskihppáriid Kárášjogas go eai leat dán háve arvan oassálastit Mastervuodjamiin . ¶
Ja mun 	adden 	bures go Romssa Sámi searvi hálida sámegielat dan aviissa guvlui , lohká Svineng . ¶
- Lean 	adden 	ahte galget Njuorggámii dušše 100 ođđa huksensaji . ¶
	Adden 	bures eamiálbmot suhttá . ¶
Mu mielas dan ášši eai leat Greenpeace ovddasteaddjit albma láhkai 	adden 	. ¶
- Mun bures 	adden 	manin Boine Sara ná reagere ii ge hálit máksit barggu ovddas mii ii leat dahkkon , lohká Lindstrøm . ¶
- Mun fertejin 40-50 háve jaskadit lohkat teavstta vai 	adden 	sisdoalu . ¶
In leat nu čeahppi suomagiela ja 	adden 	dušše duokkot dákko moadde sáni . ¶
Seammás 	adden 	sin . ¶
- 	Adden 	bures jos hálidit geassit mis ruđaid ruovttoluotta , go gielda ii leat nagodan dokumenteret masa ruhta manná . ¶
Mun lean fitnan New Zealanddas , ja doppe leat 	adden 	ahte fertejit ealihit maiddái álgoálbmoga ja sidjiide láhčit ealáhusa . ¶
Odne lean vuoiŋŋalaš olmmoš gii 	adden 	iežan kultuvrras , čilge Somby . ¶
Mun 	adden 	muhtin muddui ahte aviisa ferte , ja ahte dát addá vejolašvuođa váldit mielde áššiid nugo omd. jearahallama Aage Solbakkiin sullii vahkku áigi . ¶
	Adden 	bures jus dahket dan . ¶
Eai sii 	adden 	ahte sámi guovlluin leat earálágan hástalusat go Norggas muđui , muitala Brenna . ¶
- Dát čájeha ahte eiseválddit eai leat 	adden 	maid sin vealahan politihkka lea mieddisbuktán sámi álbmogii . ¶
Sámedikki ráđđelahttu Johan Mikkel Sara áigu váldit oktavuođa Finnmárkku Fylkkamanniin , go jáhkká sin leat 	adden 	boastut Sámedikki . ¶
