Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Sáhttet vaikko olgun 	čohkkát 	.
Johan Somby gii 	čohkká 	guoras muitala ahte Bossogobis dat lei eanemus garas dat
Movt galgá boahtteáiggiin mannat jus mii ain 	čohkkát 	duoddariin ja vuotnaráiggiin ja jurddašit nu movt olggobealde servodat oaidna min .
John Máhtte juoiggai vieljas Issát Ántte , gii 	čohkkái 	sáles .
TELEFUVVNAS : - Ná 	čohkkán 	beivviid ja hálan telefuvnnas , muitala Thor Aage .
Mun lean oainnat olmmái gii in liiko guorosgieđaid 	čohkkát 	.
In muitte mii láviimet nie jaska 	čohkkát 	skuvllas .
Dat aŋke ii leat dáhpáhuvvan dan gávcci jagis go mun lean 	čohkkán 	guovllostivrras , lohká son .
Muhto hirpmáhuvat go fuobmat man ollu nagodat earáid bidjat bargat dan botta go ieš 	čohkkát 	stuolustat .
Son 	čohkká 	maid Sámedikki doarjjastivrras mii attii 250 duhát ruvnnu festiváldoarjjan .
Sámediggeáirras Terje Tretnes bivddii doarjjastivrra , gos ieš 	čohkká 	, addit vel eambbo Kárášjoga beassášfestiválii go maid hálddahus árvalii .
Mii eat sáhte šat 	čohkkát 	Porsáŋggus ja dušše geahččat go Suodjalus dahká dán ja duon hehttet min ealáhusa , lohká Søderholm .
Ja dii geat ruovttus 	čohkkábehtet 	soaitibehtet fáhkkestaga beassat dinet veahá .
Dát lea 	čohkkán 	stivrenjoavkkus
Dát politihkkarat leat 	čohkkán 	
Sisaváldimis 	čohkká 	dievdu mas leat girdibiktasat .
Son 	čohkká 	lávvordatkafeas Deanu šalddi birasvisttis .
Soai 	čohkkába 	gievkkanláhtis , go ii leat buoret kantursadji .
Maŋŋá čájálmasa 	čohkkái 	son guhká jaska , ja de himihii : ” Dát bihttá han čájeha olbmo luonddu birra ” , dát lea dárvanan muitui , lohká Utsi .
Manne dasto 	čohkkát 	dieinna čuvgesvuovttat sexbombain das juohke bearjadaga ?
Son 	čohkká 	jođiheaddjin dán jagi lohppii , gitta dassá go áigodat nohká .
Ii nagot 	čohkkát 	áibbas jaska .
Balddas 	čohkká 	Biret Ánne Vuolab ja Per Mienna .
– Mis leat das olbmot geat áigot 	čohkkát 	das odne , ihttin ja dassážii go miehtabehtet min gáibádusa , dieđihii Nordsletta .
OŽŽON PANORAMA SAJI : Dán beavddis lávejit borgguheaddjit 	čohkkát 	.
Mu bálddas 	čohkkába 	guokte vuoras nissona geat veahkkalagaid geahččaleaba unnit eanet lihkostemiin lohkat áššelistu gávnnahan dihte makkár ášši leat meannudeamin .
Mánát geavahit olu áiggi juohke beaivve skuvllas ja ruovttus 	čohkkát 	jaska TV- ja pc-šearpma ovdabealde .
– Ii geasset galgga olles vahku 	čohkkát 	šáhkain .
— Olbmot eai vuolgge luomostallat danin ahte 	čohkkát 	hotealla lanjain dahje gohttensajiin .
Áilu 	čohkkáda 	ja humada jaskadit .
Ja son lea 	čohkkán 	Eurohpaparlameanttas logi jagi .
Mátkkálaš guhte jámii 	čohkkái 	biilla maŋŋeseahtas .
Sis-Finnmárkku diggegoddi oaivvilda biillaeaiggáda ges 	čohkkán 	mátkkálačča ovddabealdde .
Dušše jos olggos geahčastat de muitát ahte it 	čohkká 	káffebáras New Yoyrkas dahje Tromssas .
Mikkelsen lohká ahte jus mánát bággejuvvojit fatnasis 	čohkkát 	máŋga diimmu beaivái , de dat čuohcá sin oahppamii .
Son lea Duodje Nordlándda jođiheaddji ja 	čohkká 	Sámi Duoji stivrras .
4-4 : - Dá lea smávva vuoitu midjiide , soitet dál bidajt eanet deattu Sámedikki mearrádussii ahte stivrras galget 	čohkkát 	njealljis Sámedikkis ja njealljis Fylkkadikkis , lohket Einar Johansen ( GB .
– Go leat identifiseren vuoigatvuođaid , dalle easka sáhttit mearridit geat galget 	čohkkát 	Finnmárkkuopmodaga stivrras , lohká Trosten .
De beasaiga 	čohkkát 	VIP-tribunas Alfheimas ovttas Manchester United-taleantaohcciin Geoff Watsoniin .
EAHPÁDUSAS : Sámiráđi veahkkebargi Elise ValkeapŠŠ eahpida olmmošgoddiid gártat 	čohkkát 	giddegasas 40 jagi nie go Guatemala alimusriekti lea dupmen .
NRK-Sámi Radio dieđuid mielde lea Guatemala alimusriekti dupmen14 militeara olbmo 	čohkkát 	40 jagi giddegasas vearrodaguid ovddas .
Sara 	čohkká 	ja geahččá go San áhkut dánsot .
Mun oainnát 	čohkkán 	ieš searvegotteráđis , muitala Johanne Gaup .
Dat ii lean álki , go doppe ledje ollu buorit govat , lohká Wintherfeldt , guhte 	čohkkái 	jurys oktan Deanu kulturhoavddain Kjell Munkebyain ja govvideaddjiin Niillas Sombyin .
Danne lean 	čohkkán 	guhká ja hutkan gažaldaga mii ii leat servodatberošteaddji , politihkkalaš , ja mii dušše guoská sutnje , juoga mii lea gusto veadjetmeahttun .
– Dál 	čohkkát 	dušše ja vuordit .
– 1200 guossi ledje boahtán , in ge jáhke mii 	čohkkát 	vuolláibáhcagin dán jagi .
ii sáhte 	čohkkát 	ja vuorddašit buoret dálkkiid , de gal sáhttá gártat oppa geasi čohkohallat , lohká šibitdoalli Trygve Nilsen Kárášjogas .
Almmái 	čohkká 	dál rájusgiddegasas maŋŋá go vikkai rievidit Fálesnuori poastkantuvrra geassemánus .
Go mánát 	čohkkánit 	dihtora lusa de šaddá oahpahus dego stoagus .
Da 	čohkkába 	Lars Gøran ja Anitta kaias ja návddašeaba beaivesuotnjariid moadde diimmu ovdal showa álgá .
Diibmu lea sullii gávcci ja politibálvváguovttos Dagfinn Opdahl ja Knut Hansen 	čohkkába 	politibiillas jođus Álttás Hámmárfeastta gávpogii .
Su bárdni 	čohkká 	askkis .
NSR sámedikki áirras Jánoš Trosten , gii maid 	čohkká 	Finnmárkku Fylkkadikkis Sámeálbmot Bellodaga ovddas , bealkkahalai gieskat sihke Ruošša eiseválddiide ja Fylkasátnejođiheaddjái , go cuiggodii Ruošša eamiálbmot politihka .
– Vuojedettiin Guovdageidnui 	čohkkádeimme 	áššáskuhtton dievdduin maŋŋebeaŋkkas .
Dás maŋŋá ii šat muitán maŋŋá ovdal go lei 	čohkkádeame 	ja vardimin biilla maŋŋebeaŋkkas .
Son lea 	čohkkán 	sámediggeráđis ovddit Sámedikki áigodagas .
Jus galgá oažžut nana fierpmádaga njunuš eiseválddiiguin , de gal ii sáhte 	čohkkát 	dušše Ohcejogas .
Dievdu 	čohkká 	giddagasas Čáhcesullos .
Duomus gessojuvvo eret 179 beaivvi maid lea 	čohkkán 	rájusgiddagasas .
Go 23-jahkásaččas lea fuones ruhtadilli ja gártá guhká 	čohkkát 	giddagasas , de ii dárbbaš máksit áššegoluid .
– Ragnhild Nystadas lea gelbbolašvuohta , hárjáneapmi , oktavuođat ja fierpmádat go son lea 	čohkkán 	ráđis nu guhká go son lea dahkan .
– Ii leat beare miellagiddevaš jurddašit Hámmárfeasttas 	čohkkát 	ja vuordit máŋga vahku ovdal termiinna dahje áiggi , smiehttá Aile Javo .
Beasat 	čohkkát 	dollagáttis mas oaččut sihke biebmo- ja gáfehája , suova ja ráfi .
Ovttastallan eallasis olbmuiguin sáhttá buoridit romantihka , nu ahte ale fal 	čohkká 	ruovttus soffás .
Sudno mielas lea dát skándala , go Máhkarávjju ovdaolmmoš 	čohkká 	Boazodoallostivrras , mii lea ealáhusa bajimus stivrenorgána .
Somby ii ane báljo vearan kommenteret dan go sin siidda vuostá geavahit ággan dan go son 	čohkká 	Boazodoallostivrras .
Maret Myrvoll 	čohkkái 	guokte áigodaga , jagiid 1997-2004 , Norgga UNESCO našuvnnalaš kommišuvnnas .
Samuel John Anti lea 	čohkkán 	áidelávdegottis , mii lea árvalan ahte Máhkarávju cegge áiddi Liidnebeahcangárddis gitta Ásebaktái ja das davás Gárdin máđiija mielde Sáđejávrái , gos de fas bonjastuvvo Liidnebeahcánii .
Mátta-Suomas , Pori-gávpoga lahka Kullaa gielddas bajásšaddan Kati Kannisto ( 31 ) lea dálá gielddastivrra várrelahttu ja lea 	čohkkán 	gielddaráđđehusas guokte jagi .
– Don dieđat bures mii lea váttisvuohta , go 	čohkkát 	NBR stivrras ja riikkačoakkán lea sihtan din álggahit lávdegotti mii bargagoahtá Oarje-Finnmárkku boazologuiguin .
Politiijaadvokáhtta Mona Forseth lohká áššáskuhttima nu duođalažžan ahte sátnejođiheaddji teorehtalaččat sáhttá geavvat guhtta jagi 	čohkkát 	, jus dubmehallá .
Oaivámuš Jim Wolden gii ovdal lea njihtan ruđaid ja 	čohkkán 	giddagasas ii leat vel váldon gitta .
Ii han mis leat dál áigi čiekŋudit iežamet áššái nu ahte šaddá vuđolaš ja buorre cealkámuš , lohká Olli , gii ieš lea 	čohkkán 	joavkkus mii gaskavahku rájes lea bargan evttohusain .
Ovddeš áiggis sii gohčoduvvojedje rikkearáriin , mánát geat ridje eaige nagodan 	čohkkát 	jaska .
– Ja jus skuvllain eai bággehuva 	čohkkát 	jaska guhtta tiimmu , de lea váttis fuomášit ADHD symptomaid .
Mánnodaga čilgii Guovdageainnu leansmánni Nils Henriksen ahte Kemi lei dovddus politiijaide iežas veahkaválddálašvuođa geažil ja dan ahte Kemi lea máŋgii maiddái dubmehallon 	čohkkát 	doarrumiid geažil .
Hålogalándda lágamánniriekti doalaha Sis-Finnmárkku diggegotti mearrádusa ahte 23-jahkásaš galgá 	čohkkát 	10 jagi giddagasas vearredágudis ovddas .
Dasa lassin lea leamaš Ája Sámiguovddáža stivrajođiheaddji 20 jagi ja lea maid 	čohkkán 	Sámi Oahpahusráđis .
Muitaleimmet maid Sponheimii ahte son 	čohkká 	boasttu dieđuiguin go doaivu ahte dál besset buohkat njuovvat .
Ii son leat beastán mu dušše dan dihte ahte galggan stuolus 	čohkkát 	.
Muhtin beaivvi oinnii son olles dan bearraša 	čohkkáme 	olgun beaivvádagas , eamit vel heaŋggui biktasiid goikat .
Hartvig Hansen , gii ovddasta olgešbellodaga ja 	čohkká 	dispalávdegottis , gullá ges nuppi oaiviljovkui .
Davviriikkain Suopma 	čohkká 	Olmmošvuoigatvuođaid komišuvnnas ja lea mielde jienasteamen boahtte cuoŋománus bargojoavkku joatkimis .
Ja lea hui mávssolaš julggáštusárvalusprosessii ahte Sámediggi 	čohkká 	stáhta delegašuvnnas .
Jus Sámediggi ja justislávdegoddi galget gulahallat , de ii sáhte justislávdegoddi dušše jaska 	čohkkát 	.
Muhto radiosáddagis aiddo de lei muhtin gii ieš 	čohkká 	Sámedikkis gii buvttii čilgehusa .
Dál gullat maiddái smávvá sámi giláža suomabealde galget massit skuvllaset ja mánát fertejit gitta golmma diimmu rádjái juohke beaivve busses 	čohkkát 	.
Sámi Ealáhusguovddážis Ohcejogas 	čohkká 	son dihtora ovddas beivviid .
Guhkimus skuvlamátki gártá Lisma mánáide , oktiibuot 200 km beaivválaččat , ja gártet 	čohkkát 	biillas unnimusat golbma diimmu beaivválaččat .
Eai sii ipmir ahte go olmmoš dušše fal lea luonddus , go 	čohkká 	dollagáttis dahje geahčada meara de dat lea dálkkasin sillui .
Máŋgii leat várra 	čohkkán 	TV ovddas ja geahčadan dánsejeaddjiid ja muhtimat várra vel niegadan iežasge ovtta beaivve šaddat nie čeahppin dánsut .
– Lohken muhtin vahkkobláđi horoskohpas ahte dán jagi galggan alla várrái goarbmut , muhto loahpageahčen jagi 	čohkkán 	váre nalde ja návddašan dan maid oainnán , muitala Keskitalo reaškkidettiin .
Mii eat sáhte jaska 	čohkkát 	Finnmárkkus ja geahččat ahte stuoradiggepolitihkkárat behttet min ná dehálaš suorggis .
Fred Persen lea 	čohkkán 	bártnis luhtte dan rájes go čuohpaduvvui .
Sii han leat , seammaládje go stuoradiggeáirasat , iežaset ruovttu válgabiiriin eret ii ge oktage sáhte vuordit ahte sii galget 	čohkkát 	Kárášjogas vahkkoloahpaid ja basiid áigge .
Sii livčče árvvusge bargguin , livčče máksán penšuvdnamávssu ja ožžon lassipenšuvnna go ollejit penšuvdnaahkái , vaikko eai livčče ge 	čohkkán 	sámediggeráđis .
ČOHKKÁJIT LOHKKAUVSSAID DUOHKEN : – Ii leat buorre jus olbmot gártet 	čohkkát 	okto lohkkauvssaid duohken baluin , oaivvilda Deanu boarrásiidráđi jođiheaddji Birger Dervo .
– Suohkan lea guhká juo 	čohkkádan 	stáhtaruhtakássa ja njamman ruđaid mearihis láhkai , oaivvilda Ellingsen ja čujuha rehkestuhkkii maid Finnmárkku fylkkagieldda guovlluhoavda Tore Gundersen lea ráhkadan .
Márkanat loahpahuvvojit aukšuvnnain , gos vuvdet buot duljiid maid nalde olbmot leat 	čohkkán 	olgoarenas .
Randi Skum lei vuosttas sajis maiddái njeallje jagi dás ovdal , ja lea maŋimuš áigodagas 	čohkkán 	Sámediggeráđis .
Ovtta Kristin Taarnesvik plaktáhtas mii lea čájáhusas Girkonjárgga servodatviesus , lea govva gávttehas nissonolbmos mii 	čohkká 	gilggat , duogábealde oaidnit váriid ja su bajábealde čuožžu čálus « Mein kampf » .
Erkke Ánde 	čohkká 	gielddaráđđáhusa njunušolmmájin .
Aukšuvnnas vuvdet buot čuođi duolji maid nalde olbmot leat 	čohkkán 	olgoarenas .
Maŋŋá spoahkkalii maiddái gápmagiin beavdái gos dábálaččat lávii 	čohkkát 	.
Dál lea dubmehallan 	čohkkát 	giddagassii guhtta mánu .
Olmmái dubmehalai mannan vahku 8 mánu giddagassii , mas šaddá guhtta mánu eavttuid haga giddagasas 	čohkkát 	, danne go duopmár oaivvilda ášši leat nu duođalažžan .
Dá guddet politiijat Brita Gaupa eret stáhtaministara kantuvrras maŋŋil go son lea oktan earáiguin doppe 	čohkkán 	measta jándora 5 .
Dás 	čohkkábehtet 	jođus ruoktot iežadehpet baika bargguin , manname geahččat heajos TV-ráiddu ovdalgo nohkkabehtet ja ihttin dahkabehtet juste seamma - heahpanehket !
In áiggo boarrásiid siiddas 	čohkkát 	ja jurddašit buot maid in ollen bargat !
Go Min Áigi hupmá Gåte joavkkuin de sii leat 	čohkkáme 	turnebusses muhtin báikkis lahka Stavangera .
DUHTAVAŠ : Vieljašguovtto bealušteaddjit Hjallis Bakke ja Kjetil Nilsen leaba duhtavaččat bohtosiin boazosuolaáššis , muhto árvvoštallaba dál buhtadusášši go sudno klieanttat leaba šaddan 	čohkkát 	19 beaivvi .
Son árvvoštallá dál buhtadusášši go vieljašguovttos leaba šaddan giddagasas 	čohkkát 	19 beaivvi .
- Ferte máŋggaid diimmuid 	čohkkát 	beaivválaččat ja viššalit lohkat , rávve bátnedoavttirstudeanta ja moddje českes mojiin .
Leimme biilii mannan 	čohkkát 	, go gulaime radios ahte leat almmuhišgoahtán vuitiid , muitaleaba soai .
Son lea čilgen ahte áiggui rievidit báŋkku dan dihte go sutnje šattai heajos ekonomiija go Drammen-rievidanášši dihte lei šaddan máŋga mánu háldogiddagasas 	čohkkát 	.
Birger Nymo dasto lea mearridan ahte son ii guođe NSR ámmáha vaikko organisašuvnnas lea njuolggadus čielggas ahte luohttámuš olbmot eai sáhte 	čohkkát 	máŋggain gahpiriin .
Birger Nymo lohká iežas searvan bajimužžii SáB listtui go sus lea miella ovtta áigodaga vel 	čohkkát 	Sámedikkis .
Nilssen lohká áibbas čielggasin NSR njuolggadusa ahte luohttámuš olbmot eai sáhte 	čohkkát 	máŋggain gahpiriin .
Sivalaččat šaddet máksit 400 dollára sáhkkun , muhto besset giddagasas juos mákset logi dollára juohke beaivvi ovddas maid galggašedje 	čohkkát 	.
Mihttu ferte leat ahte gulahallamiin ja soahpamušain boahtá ođđa rádjekonvešuvdna fápmui , lohká Oskal , gii ieš maid 	čohkká 	Norgga šiehtadallandelegašuvnnas .
- Dál lea šaddan nu ahte guovllu olbmot galget 	čohkkát 	gáttis dan botta go turisttat ja eanadoallit bivdet .
Ii leat somá 	čohkkát 	boradanlanjas go olbmát leat márkanis .
Eamit gii lea áhpehisdilis 	čohkkái 	bálddas go ožžon telefuvnna .
- Dán áigut čoavdit dan láhkai ahte gielda pláne gokko ja man galle viesu beassá hukset muitala Ohcejoga sátnejođiheaddji Antti Kateketta , gii ieš 	čohkká 	plánenlávdegottis .
Olbmá guovttos 	čohkkába 	dál njeallje vahkku rájusgiddagasas , danne go politijat ballet ahte sáhttiba ođđasit rievidit olbmuid .
Mii 1. SB váhnemat eat sáhte 	čohkkát 	áiddi alde ja oaidnit maid min gieldda politihkkárat áigot bargat min mánáid skuvlafálaldagain .
Ijaid beivviid son 	čohkká 	ja bargá iežas bargguiguin gos dal de ain leažžá máilmmis .
Dovddus sámi girječálli lea dubmejuvvon 	čohkkát 	giddagasas go lea rohcošan guvttiin vuolleahkásaš nieiddain .
Lean eahpesihkkar gii Haldis bálddas 	čohkká 	.
TV-monitora ovddas 	čohkká 	kommandánta .
Helleland válljejuvvoi fylkkadiggeáirrasin 1987:s , ja 	čohkkái 	fylkkadikkis gávcci jagi .
Olgeža páras ii leat dušše Stuorradiggi beaivválaš bargosadji , soai maid 	čohkkába 	guktot justislávdegottis , gos Trond Helleland lea jođiheaddji .
Presideantaevttohas Egil Olli ges 	čohkkái 	ieš lávdegottis mii šiehtadalai Ráđđehusain .
Ii oktage sáhte 	čohkkát 	guhkit go 10 jagi oktiilasat .
- Ándagassii , ledjet go don gii oidnojit eske TV:s , jearrá olmmái gii 	čohkká 	lagamus beavddis , ja hupmágoahtá Finnmárkolága birra go Somby duođašta ahte son dat lei .
- Dá go leat ođđa viessogálvvut , jearrá nubbi orru Máret Rávdná Logje , gii 	čohkkáda 	ođđa stuolus .
Govas ovddabealde 	čohkkába 	Márgget-Ásllat Piera - Per Aslaksen Margit ( r. 1884 ) ja su vuosttas eamit Jávo-Ándde Márjá - Marie Elisabeth Tapio ( 1892-1914 ) .
Sálas 	čohkkái 	maiddái NSR presideanta-evttohas Aili Keskitalo , muhto ii son ge ovddidan evttohusa positiiva guvlui .
Inga Mikkelsen ges lohká muhtomin dolkat 	čohkkát 	girdihápmaniin ja vuordit girdi , muhto su mielas lea eanaš leamaš hui somá leahket sámi ofelaš .
Lágideaddji Morten Thoresen muitala ahte konseartaprošeakta gohčoduvvo 46664 , go dát han lei Nelson Mandela fáŋganummir go 	čohkkái 	giddagasas Robin Iceland nammasaš sullos .
Mii 1. SB váhnemat eat sáhte 	čohkkát 	áiddi alde ja oaidnit maid min gieldda politihkkárat áigot bargat min mánáid skuvlafálaldagain .
Erenoamážit mánát geahčadedje dan áigebotta , ja muhtumat besse vel 	čohkkát 	reagas go vuoddji vuojašii giettis singuin .
Njukčamánu 22. beaivve čáliimet mii Oahppoaviissas muhtun govvateavsttas , ahte Inga Maj Labba 	čohkká 	bátnedoaktárstuolus .
Muhtin birrasii 50 jahkásaš Kárášjoga dievdu geavvá 	čohkkát 	21 beaivvi giddagasas ja máksit 20 811 ruvnno sáhku .
Guokte vuorrasit Ameriihka gentlemen ádjá 	čohkkába 	saloŋŋas ja borggohaladeaba sigáraid mat orrot leame boahtime Cubas .
Muhtimat mis ledje ain dihtoriid luhtte 	čohkkáme 	.
Steinar 	čohkkái 	muhtin stuolus , duhpat njálmmis .
Ja de mii 	čohkkámet 	.
Olmmái lea 	čohkkán 	rájusgiddagasas gitta cuoŋománu loahpageahčen dan rájes go váldui gitta go galgá leat rievidan 71-jahkásaš olbmá Fanasgiettis nu ahte jámii .
Nubbi olmmái gii lei mielde rievideamis 	čohkká 	ges dábálaš giddagasas .
Son lea guhkká eallán boasttu bealde lága ja sus lei ovddežis duopmu man ovddas ii leat 	čohkkán 	giddagasas .
Son lea dál biddjon 	čohkkát 	dán duomu ovddas .
- Ollusat eai šat dovdda iežaset oadjebasa ruovttus dieid dáhpahusaid maŋŋil , ja dál doaivut dieđusge ahte dát guokte rievvára geat 	čohkkába 	giddagasas eaba beasa luovus .
Dan sadjái go 	čohkkát 	busses , sáhtašeimmet geavahit áiggi hárjehallamiidda .
Su áhčči lea sámepolitihkkár ja lea guokte vuoru 	čohkkán 	Sámedikkis .
	čohkkát 	dás ja čierut , ollesolmmoš ?
Dan rájes go lei vearrámusaid searvvis - dahje buot vearrámus - danne go 	čohkkái 	ráđđehuskantuvrrain , duosttan čuoččuhit ahte Bargiidbellodat lea unnimusat 15 jagi leamaš njunnožis ovdánahttit albma álgoálbmot- ja sámepolitihka dan olmmošoainnu mielde maid bellodat doarju riikkaidgaskasaččat .
VUORDÁN RUOVTTUDIVŠŠÁRA GUOKTE MÁNU : Tordis Olsen 	čohkká 	juvlastuolus stobus ja geahčada goas d á l ruovttudivššár iđ á šii .
Son 	čohkká 	dál juvlastuolus .
Son 	čohkká 	juvlastuolus ja muitala iežas čoarbbeallađđasiid nu luovos ja raššin ahte juolggit eai suvdde
- Ja jierpmi gal máhttet boazodoallit geavahit iežaset rivttiid dáfus , vaikke eai 	čohkká 	ge Sámedikkis , nugo Bæhr dahká , beaškala Anders J. H. Eira .
- Ja jierpmi gal mahttet boazodoallit geavahit iežaset rivttiide , vaikke eai 	čohkká 	ge Sámedikkis , nugo Bæhr dahká , beaškkala Anders J. H Eira .
Beaivet 	čohkká 	son ja juohká miljovnnaid ja ovdánahttá fitnodagaid .
Marianne Balto Henriksen 	čohkká 	stuorra čállinbeavddi duohken kantuvrrastis Deanu Šaldis ja dáhttu mu vuorddestit .
Son 	čohkkái 	earret eará beakkán guovllukommišuvnnas , man bargun lei geahččat ollislašvuođa guovllupolitihkas .
- Mii 	čohkkát 	dás gárdde luhtte dollagáttis ja hupmát ášši birra .
Mun 	čohkkán 	ieš suohkana dispalávdegottis ja dovddán mohtorjohtolatlága .
- Doppe lea nu várddus ahte oainnát miehtá Kárášjoga , ja leat ráhkadan dollasáji masa čáhket moaddelogi olbmo 	čohkkát 	, muitala Johansen .
Stobožii sii de leatge čáhkkehan rumbbuid , gitáraid ja ieža juoigi guovttos 	čohkkádeaba 	soffas , go juoiggasteaba Min Áigái dan luođi mo de dovdá go geasset lea čáppa dálki .
Ii leat ávki dušše Sámedikkis 	čohkkát 	ja sáddestit ovtta reivve ovdalaš šiehtadallamiid .
- Eanetlohku lea váldán ovddasvástádusa , ii ge leat riekta ahte mii dušše 	čohkkát 	Sámedikkis ja sáddet reivve ovdalaš eanandoallošiehtadusaid .
Jovnna Sámmol máinnasta su 	čohkkán 	elefántta alde , muhto lei dušše bázzi .
Son oažžu guokte jagi geahččalan áiggi , nu ahte ii dárbbáš 	čohkkát 	21 beaivvi giddagasas .
Bellodat lea álgoálggu rájes 	čohkkádan 	dušše oposišuvnnas .
Sealggát seamma beavddis 	čohkká 	Jo Inge Johnskareng , čuvvoda lávlunteavstta stuorra šearpmas .
Magnhild jiellatbeavddis 	čohkkába 	juo Jouni Esa Nousuniemi ja Arnulf Andersen , vuordimin goas dál Hánsabari bálvá čuojahišgoahtá .
- Ovdamunit sámeministariin stáhtačálli ektui , lea dieđusge ahte beassá 	čohkkát 	gonagasa beavddis .
Nuppi diehtojuohkinsajis máttabeal joga 	čohkkába 	Bente Buskum ja Heidi Valle guovttos , Sámi Joatkkaskuvlla oahppit .
Dalle go Finnmárkkulágain barggaimet 	čohkkáimet 	čoahkkimiin idjii .
Ođđa Sámedikkis bohtet 	čohkkát 	51% nissonat ja dat lea fuobmánveara , sihke dáppe ja olgolis .
- Dákko hukset olgopaviljonga gos sáhttá 	čohkkát 	go fitná kroas dahje Maras Pubas .
Mánát besse buollinčáskadanbiilla mielde 	čohkkát 	, dola jáddadit čáskadanapparahtain ja vástidit gažaldagaid buollinsuodjaleami birra .
Olbmot galget 	čohkkát 	siste goahte dahje Mongolaš jortta hámádat amfiijas .
Šadden aivve 	čohkkát 	ja girdi lihkadii stuora lihkastagaiguin .
Maŋŋebárgga rájes lea sierra Bargiidbellodaga joavku 	čohkkán 	čoahkkinlanjas .
Pres ideanta 	čohkká 	gonagasa ja dron nega gaskkas
Guossebeavddis 	čohkká 	otná presideanta Nystø Gonagasa ja Dronnega gaskkas .
Gonagasa bálddas 	čohkká 	fas alimusrievtti justituarius Tor Shei ja Dronnega balddas fas odelpresideanta Berit Brørby .
FANTASIIJA : Joavnna lea dávjá iežas jurd agiid siste go 	čohkkáda 	vuoddji lanjažis .
47-jahkásaš 	čohkká 	dan gollan stuolus nu go lea dahkan máŋgga háve ovdal .
In jurddaš maid barggan go 	čohkkán 	ja vuoján diibmoviissaid .
Ovddit Sámedikkepresideanta Sven R. Nystø 	čohkkái 	gonagasa ja dronnega gaskkas .
Urheim 	čohkkái 	ge dievaslanjas ja sihkui gatnjaliid go Gonagas Harald šállošii .
Son lea vuossárgga rájes 	čohkkán 	giddagasas ja politiijat leat dál dutkamin
Sii 	čohkkádedje 	dego gintalat go Biret Risten lei vuos muitalan ahte go luođi galgá oahppat juoigat de ferte leat áibbas siivui .
Dat lei logát geardde ja dál son dubmehalai 	čohkkát 	guovttimánnui giddagasas , ja galgá velá máksit 15. 000,- ruvnno sáhku stáhtakássii .
Jos almmái gávnnahallá leat sivalažžan njihtamii , de sáhttá son dubmehallat 	čohkkát 	giddagasas gitta guđa jahkái .
- Mun in ádde mainna son smiehttá , oainnát ii go son galgá leat viehka guhká juo 	čohkkán 	Sámedikkis .
Jus ná joatká de varra ii dohkke go giddagasas 	čohkkát 	, lohká Lukkari Sáme radioi .
- Dalle guđa áigge eahkedis dovden juolggit ledje čerggiidan , gádden mun ledjen 	čohkkán 	menddo guhká stuolus .
Vai áigot go 	čohkkát 	ja duvdit eret ovddasvástádusa lundui , mii lea buot sámiid eksisteanssa vuođđu , leš dál dálon dahje johttisápmelaš .
ČUOLDIMIN : Dát nisu ges 	čohkkái 	selggiid earáide .
Son lea 	čohkkán 	giddagasas Davvi-Kyprosa soađi áiggi .
Son 	čohkká 	beavdeguoras ja jursá Várjjatvuona botni golli .
Guovttis sis leaba 	čohkkán 	golbma vahku rájusgiddagasas , muhto beasaiga mannan vahkus friddjan .
GALGÁ ČOHKKÁT : Politiijat leat gohččon Anders Julius Johnsena 	čohkkát 	butkás Čáhcesullos , go ii leat máksán 2000 ruvdnosaš sáhku .
And ers Julius Johnsen lea gohčohallan boahtit 	čohkkát 	Čáhcesullo butkái , vaikke lea máksán 2000 ruvdnosaš sáhku .
- Mun galggan vuossárgga Čáhcesullo butkái boahtit 	čohkkát 	guokte beaivvi , go politiijat čuoččuhit ahte mun in leat máksán sáhku .
Soaittát šaddat máksit 2500,- ruvnnu juohke bohttala ovddas dahje 	čohkkát 	giddagasas .
Muhto eai nuorat ge sáhte 	čohkkát 	ruovttus ja vuordit ahte galgá šaddat suohtas .
Stuorámus lei 5 m guhku ja 1,5 m govddu , gosa šihtte golbma olbmo rattát 	čohkkát 	, muitala son .
- Dál berreba Sámediggi ja fylkamánni bargagoahtit ovttas ja eaige 	čohkkát 	goabbat sajis .
Nubbi ášši lea guhte áirras galgá 	čohkkát 	guđe lávdegottis .
Ikte čielggai Sámedikki bealis geat galget 	čohkkát 	Finnmárkkuopmodaga stivrras , ja Finnmárkku fylkkagielda fas lei válljen iežas áirasiid moadde beaivvi ovdal .
Áhčči fertii 	čohkkát 	rišlaravddas geasojulggiid .
Dál lei juovlamiella badjánan juo gáhtu rádjái ja movttamielain ja ilolažžan 	čohkkáneimmet 	juovlabeavdái ja vehážiid mielde smáhkestallagođiimet daid juovlaherskkuid maid Áila lei gárvvistan .
- Hálidin maiddái geahččalit juoidá eará bargat go 	čohkkát 	kantuvrras telefungeahčen , lohká Ulf Bergdahl .
- Muittán sii dolvo min veagal biilla sisa , ja fertiimet 	čohkkát 	goavdde // pressenega vuolde .
