 ¶
eallimii fridja servodagas , deattuhit 	ádde 	 ¶
Dánska skuvlaolmmái gii ii 	ádde 	sámegiela , sáhtášii gal mánáide oahpahit dánskkagielat girjjis lohkat , muhto ii sáhte čilget sidjiide maid sánit mákset sámegillii , ja dalle ii leat su oahpahus eambbo go čuoddji biellu dahje skilaideaddji divga . ¶
Lea oalle váivi máŋgii smiehttat ahte dušše okta lohkásis 	ádde 	máidnasiid maid moai lohke daidda . ¶
Lea oalle váivi máŋgii smiehttat ahte dušše okta lohkásis 	ádde 	máidnasiid maid moai lohke daidda . ¶
Nu guhká go duháhiid mielde ( maiddái rittus , omd. Unjárggas ) geavahit sámegiela ruovttus , de mun in 	ádde 	ahte veaháš oahpahus sámegillii galggašii leat vahágin Kárášjoga nuoraidskuvllas . ¶
Álo leat muhtumat geat eai 	ádde 	. ¶
Ja go mii dál buktit gáibádusaid , de biehttalehpet dii min duođas váldimis , dáinna ákkain ahte mii eat 	ádde 	min iehčamet buori . ¶
Mun dušše njálmmi lihkahattan go earát lávlot , ovtta nuppi lávlaga mas eatnašat mis eat 	ádde 	sisdoalus maige . ¶
Muhto lea okta boares instruksa 1898:s , mii mearrida ahte sámegiella sáhttá geavahuvvot veahkkegiellan , jos dárbbašuvvo ja beare dalle go skuvlamánát eai 	ádde 	maid oahpaheaddji dadjá . ¶
Dat ii 	ádde 	rehkega iige eará ovttage fága maid oahpaheaddji oahpaha dáppe . ¶
Dávjá sii gilvet gáttuid mat darvánit julggiide ja dagahit olbmo lihkuhis dillái , soaitá ahte sii eai oba 	ádde 	ge iežaset daguid bohtosiid . ¶
Sii han šaddet dan muttus jallat ahte eai 	ádde 	eai maidege go álget skuvlii ! ¶
– Sáhtán mottiin ovdamearkkain čilget mo sáhtášii geavvat min guovllus jus oahppoplána 	ádde 	justa nu mo lea čállojuvvon . ¶
Giela geažil eai 	ádde 	dávjá sápmelaččaid ja sin váttisvuođaid . ¶
Dálá olbmot eai ba 	ádde 	ge manin dát lei nu váralaš . ¶
Dáinna fertet bargat viidásabbot ovttas skuvllain , vai stáhta 	ádde 	min dárbbuid . ¶
Ferte maid atnit muittus ahte eai leat dušše « dážat » geat eai 	ádde 	giela , erenoamážit čállingiela , muhto leat máŋga sámeváhnema geat dál háliidit mánáidasaset addit vejolašvuođa oahppat sámegiela sihke čálalaččat ja njálmmálaččat . ¶
Moai loktiime ášši váhnenráđi bargolávdegoddái , ja earát dadje : « Eat 	ádde 	man birra hállabeahtti , muhto go juo leahppi nu áŋgirat , de álgi fal . ¶
Sámegielas han leat dábálaš bustávat , ii leat veadjemeahttun lohkat vaikko ii 	ádde 	maid lohká . ¶
Sii meinnejedje ahte sámegiella sáhttá geavahuvvot veahkkegiellan dárbbu mielde , ja dušše fal dalle go skuvlamánát eai 	ádde 	maid oahpaheaddji dadjá . ¶
Sátnegovva ii muitalan mo sáni dadjá jos ii 	ádde 	deaddomearkka-systemas maidige , omd. guod ’ dit gal lei ortnegis , muhto guoddán - sánis ii oainne mo sáni galgá dadjat . ¶
Ipmil ii 	ádde 	sámegiela . ¶
Ipmašeamos dahku sámiid ektui muhtin dáčča oaivámušaid beales lea evttohus jagis 1904 ahte sámit geat eai sánis sátnái 	ádde 	dárogielat vihaheami , eai galgan beassat náitalit . ¶
Lea jáhkkimis lihkká ahte muhtin stáhta sáhttá leat semináraid haga , go doppe gávdnojit árjjálaš ja doaimmalaš báhpat , ja seminára oahpahuvvon skuvlaoahpaheaddjit eai leat álo buoremusat , de dát goit ii sáhte geavahuvvot Finnmárkkus , gos báhpat eai 	ádde 	sámegiela , ja gos sin johtimat doaibmaguovlluin eai atte doarvái áiggi váldit oasi skuvlaoahpaheddjiid oahpaheapmái . ¶
Dán mielde livččii doarvái jus oahpaheaddji máhtášii dan mađe sámegiela ahte sáhttá jorgalit dárogielat cealkagiid ja dadjanvugiid jus mánát eai 	ádde 	, ja dien láhkái ahte sáhttá geavahit sámegiela muhtumin , muhto ii fal olu . ¶
Čilgejuvvo maiddái ahte dáruiduhttin vuosttalduvvo : « Doppe ássi olbmot leat dadjat dušše sápmelaččat , sii leat fuollameahttumat ja berošmeahttumat , eai beroš bajásčuvgehusas , eai ge 	ádde 	bajásčuvgehusa mávssolašvuođa ja sii hilggodit dahje juo vuosttaldit skuvlla » . ¶
Muhto lea álo váttis , ja dávjá badjánit dilit goas in 	ádde 	. ¶
Juohke jierpmálaš olmmoš 	ádde 	ahte ferte leat seammáláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege ádde . ¶
Juohke jierpmálaš olmmoš ádde ahte ferte leat seammáláhkái sápmelaččaide , ja ahte sii vissásit dovdet buoret jeđđehussan , stuorat illun ja čiekŋalut buorideapmin go gullet Ipmila sániid iežaset gillii , go jus Ipmila sániid gullat amas gillii , mas unnán ja muhtumin ii báljo maidege 	ádde 	. ¶
Dánska skuvlaolmmái gii ii 	ádde 	sámegiela , sáhtášii gal mánáide oahpahit dánskkagielat girjjis lohkat , muhto ii sáhte čilget sidjiide maid sánit mákset sámegillii , ja dalle ii leat su oahpahus eambbo go čuoddji biellu dahje skilaideaddji divga . ¶
Mun in 	ádde 	dan Davvi Dearvvašvuođa stivrra . ¶
Ja in ge 	ádde 	manne fertejin goallostuvvot áidái dego beana . ¶
Boađus das ahte buot oahpahus lei dárogillii , lea ahte otnábeaivve in 	ádde 	sálmmaid go leat sámegillii . ¶
Muhtin departemeantaolbmot gal áddejit min dili , muhto lea suorggahahtti ollu birokráhtat geat eai 	ádde 	. ¶
Eat mi goit 	ádde 	manne mi galgat gillat go jo mi leat kurssa čadahan ja deavdan gáibadusaid maid bidje eksamena dahje loahppageahččaleame bokte , dadja oahppiid ovddasteaddji Hans Petter Boyne Sámi Áigai . ¶
It 	ádde 	giela , it dieđe maid oahpaheaddji lohká ja oahpaha . ¶
Son 	ádde 	ahte dat dat han lea dat Ittár suolu . ¶
Ádjána veaháš ovdalgo Áigin 	ádde 	albmáláhkai . ¶
Inge 	ádde 	mo mun sáhtten áimmus girdit . ¶
Áigin ii 	ádde 	maidege álggus . ¶
Ii leat imaš jos it 	ádde 	. ¶
Ii dál ge 	ádde 	Áigin maidege go hállagohtet gaskaneaset . ¶
Son gullá olu jienaid , muhto ii ovttage 	ádde 	. ¶
Son ii 	ádde 	mo son galggašii nagadit nama dadjat ja muitalit iežas birra . ¶
Iigo 	ádde 	. ¶
Eadni 	ádde 	ahte son mohkasaddá ja muitala iežas diehtit maid son lea oahppamin . ¶
In 	ádde 	manne son lea dáppe . ¶
Áigin ii 	ádde 	maidege . ¶
Áigin ii 	ádde 	maidege . ¶
Ii oktage 	ádde 	maidege . ¶
- Muhto d at ii leat seammá , don it 	ádde 	. ¶
- Leango riekta 	ádde 	n aht e dat leat heaitán dan searvvi ? ¶
- Mun in 	ádde 	. ¶
Dušše dan in 	ádde 	mo dainn a várrebálsttáin galgat rassat . ¶
- Mun in 	ádde 	mo galggaime t dainna várrebálsttáin rassat , dajai Heaika . ¶
Dat ii leat dušše okta ja guokte maid dán mu barggus galgá máhttit , olbmot eai 	ádde 	. ¶
- Na eai várra 	ádde 	. ¶
Ale juo viša jearatit menddo váttis áššiid , mun in 	ádde 	iešg e maid galggan dáinna visttiin . ¶
- Issát ii 	ádde 	, ii oktage ádde , čirrui nisu . ¶
- Issát ii ádde , ii oktage 	ádde 	, čirrui nisu . ¶
- Don it ád de , ii oktage 	ádde 	dán báikkis . ¶
Muhto ii Biret- Káre oaidnut , nuorat eai 	ádde 	. ¶
- Gal dat lea nu álki go dálus gávdno ol mmoš gii 	ádde 	diekkárge áššiid , dajai Sire . ¶
- In 	ádde 	manin dájáskin dalle dainna servviin , livččenhan mun galgan jáhkkit viisábuid . ¶
Mus vuot vehá váttisvuođat dainna čállinbargguin , in riekta 	ádde 	mo gánneha joatkit . ¶
In 	ádde 	. ¶
Hálan dál dakkár áššiid birra maid don it várra 	ádde 	, áddešgo oktage dán báikkis . ¶
Olbmot čádjádallet čalmmeteapmen duohkut deike , eai oainne iežaset dili eaige 	ádde 	gosa leat jođus . ¶
- Juohan doppe álo muhtun deaivá njeaiga , ii dat nu 	ádde 	. ¶
In 	ádde 	visot . ¶
- In 	ádde 	maid hálažat . ¶
In 	ádde 	. ¶
- In 	ádde 	maid hálažat . ¶
- Muhto galgá geahččalit čuovvut áiggi , dajai Gutnel nannosit ; ja nivkalii diskka guvlui ja savkalii : - Dát mu olbmot eai 	ádde 	maidige diekkár áššiin ! ¶
Sátni illá daddjon dige gullogohtet jienat dievvámáhccagin , ja ihtá olles govsa olbmot , dippardit dunttardit ― mon in 	ádde 	maid šoaddidit . ¶
Jorggihii čáhppeslinnát sámi áhku guvlui dugo biegga : - — sii gul eai han 	ádde 	! ¶
Skáiggán-Ingá ii 	ádde 	, jáhkká suinna ábástallamen . ¶
- « Čoavdnegilli , hal » - « Olbmok goit eai 	ádde 	» ¶
Guldaleaddjit doppe Finnmárkkun láitet , sii eai 	ádde 	, heaittihit juo dien « dáččalaš sámegiel-hálli » . ¶
Ivvár diehtá čilget 1 diet leat dadjadanmearkkat , dat rihkku mii ihtá sáni nala dugo čuoikka baika , das 	ádde 	gokte sáni dadjat galgá , man dássái deattu galgá bidjat dajadettiin . ¶
Go ii vuhtto gen albma guolli , ii bat dan 	ádde 	― vervárivguid ! ¶
Dan gen 	ádde 	, nieida , jurdilin . ¶
Mon in dádjat duon , dás lea juoga man in 	ádde 	, juoga man ii čoavddáše ii máhtemátihkka ii mekánihkka , aistton Ándara go ipmaša olbmo . ¶
Ja čollon leat sáiddit geahppadet guoddit go jorppas , gal dan 	ádde 	. ¶
	Ádde 	, váldá vuostá , manná ulleráji , šlivgila , váddobaste girdá dugo cihci — guolli oktanaga , rulla njagidii . ¶
diet hal ii 	ádde 	maidige ¶
Na 	ádde 	leat olmmoš gáigá ! ¶
Gal 	ádde 	leat olmmoš láiki go nie láhtte ... ¶
« Muhto dii dieiguin bohccolejiiguin ehpet 	ádde 	dan ! ¶
» Gullui šuoŋas menddo áŋgir , danin nubbi dadjá : « In dieđe , in , ja allot šuđa ; dot dáčča 	ádde 	sámegiela ja guoigala vel vašálažžii dieinna doaivvuin son beassá luitui go geažihastá maid mii sámit hállat ja diehtit . ¶
Áne ii lean dovddastan son áddii sin hoala , son 	ádde 	sámegiela . ¶
Albmážan , it go 	ádde 	dál , don mearridat . ¶
Albmážan , it go 	ádde 	dál , don mearridat . ¶
Vai áššái gulli bealli 	ádde 	mearrádusa , de galgá vuođustus dan muddui go lea dárbbašlaš maid almmuhit njuolggadusaid sisdoalu dahje dan čuolmma mii lea mearrádusa vuođđun . ¶
Vai áššái gulli bealli 	ádde 	mearrádusa , de galgá vuođustus dan muddui go lea dárbbašlaš maid almmuhit njuolggadusaid sisdoalu dahje dan čuolmma mii lea mearrádusa vuođđun . ¶
Gustojeaddji rivttiin 	ádde 	vuoigatvuođajoavku einnostusa ( prognosa)5 das , makkár bohtosii Alimusriekti livččii boahtán , jus livččii geavahan riektegáldooahpu konkrehta riektegažaldagas6 . ¶
Maiddái duopmostuolu mearkkašupmi riektegeavaheami ideálan lea stuorra symbolalaš árvu sihke juristtaide ja eanaš olbmuide , mii ee. boahtá ovdan das , movt riektejoavku 	ádde 	gustojeaddji rievtti doahpaga . ¶
Dainna Mathiesen 	ádde 	dihto áiggi riektemearrádusaid seamma áiggi fápmogeavahusa boađusin . ¶
Gažaldahkii galgetgo stáhtat maid leat geatnegahtton mieđis doaimmaid fuolahit , 	ádde 	departemeanta nu ahte dás leat sierranas áddejumit . ¶
Dáid duohta deasttain , 	ádde 	doahpaga ii berre mearrádusas gáržžet áddet , muhto maiddái nu ahte dasa gullet unnitlogu duohta vejolašvuođat dikšut kultuvrras . ¶
Dán 	ádde 	Justisdepeartemeanta nu ahte johtti álbmogiid doaibma ii sáhte biddjat vuđđosa navdit ahte dát álbmot árbevieru mielde ellet guoski guovlluin , dainna váikkuhusain ahte sii eaige sáhte gáibidit eaiggáduššanvuoigatvuođa dahje geavahanvuoigatvuođa dáidda ( s.6 ) . ¶
Go lea riikkaidgaskasaš soahpamuš , lea lunddolaš ahte norgga dulkon atná deastta mo njuolggadusaid 	ádde 	ja geavaha eará soahpamušriikkain ; muhto eai leat geavadat ja guottut olus duođaštuvvon , mat dorjot dulkomiid ii ákkastallo 2.4.4. vuolleoasis . ¶
Eat 	ádde 	§ 7 njuolggadusa lonistanklausulan , muhto ruovttoluotta váldinnjuolggadussan ¶
Go dán klausula ná 	ádde 	gáržžida dát nu olu eaiggáduššanvuoigatvuođa , ahte masá dahká Eatnamiid Opmodaga guollebivdohápmaniid niehkun . ¶
Maid 	ádde 	ozolaš minerálain lea albmaduvvon báktelága § 1 : ¶
Eanadoallolávdegotti mearkkašumiid ferte nu go 	ádde 	čujuhit Eanadoallodepartemeantta cealkámuša oassái mii gusto lohpái muddet sápmelaččaid vuoigatvuođaid lágain . ¶
Meinich-Olsen lea nu mo riekti 	ádde 	oaivvildan ahte doarvái guhkes áigi lei vássán juo 1928:s go čálii girjjis , ja rievtti ovdaolmmoš ii eahpit ahte dál - 30 jagi maŋŋil - lea gollan nu guhkes áigi ahte dát čuoččuhuvvon boasttoáddejupmi lea cieggan riektedilálašvuohtan . ¶
	ádde 	mearrádusa nu ahte dušše giliolbmuin lei Dáža Lága mielde vuoigatvuohta bivdit almennehis . ¶
Dánne 	ádde 	ahte 1867 ráŋggáštanduomut ja 1914 Alimusriekteduopmu ( ja dáid duopmobohtosiid hápmi Rettstidende álggus ) leat dorjon áddejumi ahte stáhta eatnamat Finnmárkkus eai leat almennehat mange láhkai . ¶
Seamma 	ádde 	maid namuhuvvon ráfisoahpamušas vearrošiehtadusain gaskal Norgga ja Novgorod 1326-29 . ¶
Muhto 	ádde 	buorebut Snorri ná , ahte go lei Norggas 121820 , geahččalii son čilget maid dás oinnii , ja maid ii dovdan Islánddas . ¶
Gonagasa oktovuoigatvuođa lihttoláigohit njáskansajiid almennehiin 	ádde 	álkit dán oaivila mielde . ¶
Dát lea datte dáhpáhuvvan sullii oktanaga go sámeálbmot lea morránan dan ektui mo stáhta 	ádde 	iežas eaiggádin . ¶
Seammaláhkai 	ádde 	V čuoggá ¶
Olgoriikalaččaid ja earáid guollebivdu Finnmárkkus Olgoriikalažžan 	ádde 	dán oktavuođas su gii ii ása Norggas . ¶
	Min Aigi – ¶
Sáhttá maid leat sahá hápmi dakkáraš , ahte guolleverddet eai 	ádde 	masa dát galgá geavahuvvot . ¶
• • Váttisvuohta , nu mo Min Áigi 	ádde 	ášši , lea ahte sámenissoniin eai leat albma nissonovdagovat , geat sidjiide leat dego « bálggesčuovgan » politihkalaš bargguin . ¶
Gaup lea čeahpes neavttár , muhto ii 	ádde 	olles maidege boazodoalus , goit jos buohtastahttá dainna maid badjeolmmoš máhttá . ¶
Maid bat eallilan neavttár , bajásšaddan Fránska Rivieras ja dasto eallán gávpoteallima USA jiehtanasgávpogiin ja « agibeaivve » čiehkádan vávttaid duohkái , duođaid 	ádde 	njuorjjobivddus ? ¶
Dákkárat ovdánit nu guhkágo leat almmáiduonat geat eai 	ádde 	olmmošvuođas maidige , ja geat atnet ruošša nissoniid vuovdingálvun . ¶
– In 	ádde 	manin eiseválddit dárbbašit nu guhkes áiggi vástidit . ¶
Sámi Girkoráđi jođiheaddji , Ole Mathis Hetta 	ádde 	Venne moaitámušaid , muhto oaivvilda ahte lei lunddolaš addit kristtalašvuhtii dan saji maid lea ožžon . ¶
Botswanalaš báhppa , Rupert Hambira 	ádde 	Sharon Venne suhtu girkui . ¶
In riekta 	ádde 	makkár hálddahusa oaivvilda . ¶
In riekta 	ádde 	manne fertii sirdit ovttasbarggu Jonái go doppehan juo lei Lujávrri ámmátskuvllas ossodat ja SOG:s lei ovttasbargu dáinna skuvllain . ¶
Nu movt lean dadjan bajábealde dán čállosistan , de in riekta 	ádde 	manne lei dárbu sirdit ovttasbarggu . ¶
Jus lea nu , ahte ii oktage dárbbaš váldit ovddasvástádusa áššiin , de in 	ádde 	manne dalle galget njunušolbmot sihke servodagain ja organisašuvnnain . ¶
Váttis lei jođašit , danne vel go eai 	ádde 	giela . ¶
Maid bat don livččet dahkan go olmmoš lea oivvis iige 	ádde 	ii fal ii baikkage , dainna ii ábut hállat . ¶
• • Soai eaba 	ádde 	dutkanráđi ákkastallama . ¶
Muđui eai váldde politihka duođas , ja dalle in 	ádde 	manin servet politihkkii . ¶
« Mo jos nazisttat bohtet ruovttuluotta » , « dat sáhttet bilidit olbmuid idjanahkáriid » ja ahte « báikenamat šaddet Finnmárkku sámegillii maid ii oktege 	ádde 	» . ¶
Sii smujjájit daid fiskes taxiid sis eaige measta 	ádde 	eaŋgalsgiela . ¶
Jáhkan meahcceráđđehusas leat áigumuš dušše gáržžidit báikkálaš olbmuid meahccásteami , muđuid in 	ádde 	jurdaga , árvvoštallá Vesa Luhta . ¶
ÁDDEHALLET : Per Andersen , Duojáriid dálu beaivválaš jođiheaddji , lea oahpaheamen Nina Kotsjevina ( 41 ) gii maiddái 	ádde 	veháš suomagiela . ¶
II 	ÁDDE 	: Biilavuoddji Edvard Johansen ii ádde manin dávvirat galget fieradit duolva láhtis . ¶
II ÁDDE : Biilavuoddji Edvard Johansen ii 	ádde 	manin dávvirat galget fieradit duolva láhtis . ¶
– Mun in 	ádde 	manin eiseválddit guozadit go mii duođaid dárbbašat borramušaid , veahkki galggašii addojuvvot njuolgga sidjiide geat dan dárbbašit . ¶
In ba ieš 	ádde 	maid hálan . ¶
Mun in 	ádde 	manne muhtimat leat nu hearddoheamet , diktet iežaset dáinna givssiduvvot . ¶
• • Suoma eiseválddit meannudit dás sápmelaččaid , dego livččiimet mánát geat eat 	ádde 	iežamet dilis maidege . ¶
Eat dattetge 	ádde 	manne dárbbašuvvo golahit miljovnnaid , dušše danne go ođđa jahkeduhát álggahuvvo . ¶
ÁLTTÁ : Álttá Sámiid Searvi ii 	ádde 	manin sámegielat sálbmagirjjit eai leat vel ihtán girkuide ja girkoviesuide Álttás . ¶
Álttá Sámiid Searvi ii 	ádde 	makkáraš sivat dasa leat , go suohkan ii juollut ruđa dasa . ¶
	Ádde 	, ii hála ¶
In 	ádde 	mo ná sáhttet joatkit moivema , imašta Aase . ¶
In 	ádde 	mo ná sáhttet joatkit moivema . ¶
Jus oktage sáhttá vásihit , ahte dat ii leat earenoamáš dáhpáhus , dalle dat sáhttá leat boastut , daningo oainnedettiin mo boaresolbmot fullet daid nissoniid ja mo sii lávlot , juohkehaš 	ádde 	, ahte dat lea duođái dáhpáhus sidjiide . ¶
Dat heive seamma bures urbana baleahttadovdiide go meahcceolbmuide geat eai 	ádde 	fuos eai cuo dán dáiddavuogis . ¶
Mo jus mun in 	ádde 	dás in fuos in cuo ? ¶
– In 	ádde 	mo Odd Mathis Hætta oba jolgege árvalit Nuorttanástte heaittihuvvot , dieđiha Nystad . ¶
In 	ádde 	mo son oppanassiige heiveha dákkár oaiviliid ovddidit . ¶
Ruoššanieiddat geat eai 	ádde 	dárogiela , eai dieđe , čilge Svetlana Dudinova . ¶
Son 	ádde 	, ahte máŋgasiidda sáhttá leamen stuorra paradoksa , ahte justa son lea Mátta-Norgga Oslo Sámiid Searvvi ođđa jođiheaddji . ¶
– Lea somá oaidnit ahte Sindre 	ádde 	sámegiela ja máhttá eanet go maid moai máhtte , mojohallaba Anna Laila ja Terje Bjørkås . ¶
Stoahkangiella lea ain dárogiella , muhto Sindre 	ádde 	dál sámegiela go bargit geavahit sámegiela oppa áigge . ¶
– Eat 	ádde 	ahte dáža eiseválddiid struktuvrralaš vealaheapmi ja assimileren sápmelaččaid vuostá ii sáhtášii heaittihuvvot ja hávdáduvvot dán duhátjagis . ¶
Muhto son 	ádde 	maid ahte sápmelaččain lea iežaset vuoruhus , ja guldalit dieđusge sin oaiviliid . ¶
NSR 	ádde 	departemeantta reivve Sámediggái čielga rávan fylkkaide olgguštit sámi prošeavttaid vuoruheamis . ¶
Daid 	ádde 	gos ihkkenassii leat ráhkaduvvon ja gos ihkkenassii čájehuvvojit . ¶
Dieđusge sáhttá leat neavttáriid sivva , muhto dávjá lea sivvan ahte geahččiid eanetlohku ii « 	ádde 	ii fuos ii cuo » . ¶
« Dáža journalisttat eai 	ádde 	sámi áššiid » ¶
Ovdalaš juovllaid diibmá moaráskedje sámi- mediadovdit ja journalisttat go dáža journalisttat eai 	ádde 	maidige sámi áššiid birra . ¶
In riekta 	ádde 	du oaiviliid . ¶
Ii leat nu gal áddet ahte ean geardda moaitámuša , muhto go heaittihan eavttohusat maid leat dan seamma vuoiŋŋanasa rohttesteames , de in šat 	ádde 	. ¶
Vai mii dat ártegis « sámekultuvra » lea , go mun dan in 	ádde 	? ¶
Gilvvuid jahkásaš guossi Esko Tuisku ii 	ádde 	manin Kárášjogas ii gávdno heivvolaš sadji gilvošilljui . ¶
Muhtin lohkki lea imaštan manin Min Áigi dávjá čállá ; « dat ii 	ádde 	ii fuos ii cuo » . ¶
– Dajaldat lea ; « ii dat 	ádde 	ii fuos ii ce » , min lohkki fuomášuhttá . ¶
Dáid sániid gal 	ádde 	beana . ¶
Olmmoš guhte « ii 	ádde 	ii fuos ii ce » , dat ii ádde oba dan maid beana ádde ja dalle gal ii ádde nu beare olu , Min Áiggi lohkki čilge . ¶
Olmmoš guhte « ii ádde ii fuos ii ce » , dat ii 	ádde 	oba dan maid beana ádde ja dalle gal ii ádde nu beare olu , Min Áiggi lohkki čilge . ¶
Olmmoš guhte « ii ádde ii fuos ii ce » , dat ii ádde oba dan maid beana 	ádde 	ja dalle gal ii ádde nu beare olu , Min Áiggi lohkki čilge . ¶
Olmmoš guhte « ii ádde ii fuos ii ce » , dat ii ádde oba dan maid beana ádde ja dalle gal ii 	ádde 	nu beare olu , Min Áiggi lohkki čilge . ¶
Mii doaivut dán áššis jođáneamosit gávdnot muhtin , guhte 	ádde 	rádjaássiid juohkebeaivválaš dili ja geas maiddái lea váldi dáhkat spiehkastaga stirdon njuoggadusaide , nu ahte sámiid iežaset ovttasbarggut eai hehttejuvvo eanet go dárbu . ¶
Maori ollesolbmuid maorigiela áddenmáhttu 	Ádde 	bures 28 % Ádde eanaš áššiid 35 % Ádde veaháš 30 % Eai ádde maidege 7 % ¶
Maori ollesolbmuid maorigiela áddenmáhttu Ádde bures 28 % 	Ádde 	eanaš áššiid 35 % Ádde veaháš 30 % Eai ádde maidege 7 % ¶
Maori ollesolbmuid maorigiela áddenmáhttu Ádde bures 28 % Ádde eanaš áššiid 35 % 	Ádde 	veaháš 30 % Eai ádde maidege 7 % ¶
Maori ollesolbmuid maorigiela áddenmáhttu Ádde bures 28 % Ádde eanaš áššiid 35 % Ádde veaháš 30 % Eai 	ádde 	maidege 7 % ¶
– Dušše čieža proseantta álbmogis ii 	ádde 	maidege maorigielas . ¶
Mo Gaski leš fuomášan mu eretbijahallan ii 	ádde 	go Gaski ieš . ¶
Elina mielas lea giellabiras hui dehálaš , ii ge 	ádde 	manne Guovdageainnus eai dohkke dan gurssa doallat . ¶
Dan láhkái sáhttet láhttet beare dakkár olbmot , geat eai 	ádde 	doarvái bures mii leat stánddalašvuohta ja oamedovdu . ¶
Lujávrri guovllu báikkálaš olbmot eai 	ádde 	, manin muhtin ruoššalaš dahje olgoriikalaš fitnodagaid buresbirgejupmi galgá čuohcat báikkálaš álbmogii ? ¶
Dan láhkái sáhttet láhttet beare dakkár olbmot , geat eai 	ádde 	doarvái bures mii leat stánddalašvuohta ja oamedovdu . ¶
Lujávrri guovllu báikkálaš olbmot eai 	ádde 	, manin muhtin ruoššalaš dahje olgoriikalaš fitnodagaid buresbirgejupmi galgá čuohcat báikkálaš álbmogii ? ¶
Nammalassii ahte sápmelaččat leat luođueallit , mat eai 	ádde 	bahás ja buoris . ¶
In 	ádde 	mainna ulbmiliin Bargiidbellodat buot návccaiguin vikkaha crossbána Dilljajohkii vaikko dihtet dáid váikkuhusaid birra . ¶
– In 	ádde 	movt sáhtte dušše loahpahit busseruvttu Guovdageainnu ja Kárášjoga gaskkas , vaikko dihtet ahte muhtin guovdageainnuora vázzet joatkkaskuvlla Kárášjogas ja nuppeguvlui maid , dadjá Ole Máhtte . ¶
Hirbmat guhkás maŋos ii dárbbaš dán ášši guorrat , ovdal go 	ádde 	mas lea gažaldat . ¶
Dan maŋŋá álge davvi láttánat moivet etnihkalaš doahpagiid nu ahte dál dábálaš álbmot Suomas ii 	ádde 	šat ii maidege . ¶
Mii eat 	ádde 	manne VM-kroa dan nie válddahallá , sihke radioin ja aviissain . ¶
Vai dán álkit 	ádde 	, šáhtášii ovdamearkan váldit sohkabeliid ovttadássásašvuođa . ¶
Hui vahát lea , ja masájuo ilgat , ahte sápmelaččaid iežaset álbmotválljen orgána , ii 	ádde 	man duođalaš dát dilli lea . ¶
In mun ieš riekta 	ádde 	dan , logai Steinar Pedersen . ¶
Son lea loavkašuvvan eará nuoraid giellaberoštumis , muhto 	ádde 	manin lea geavvan nu ahte eatnašiin su ahkásaččain rivvejuvvui giella . ¶
Mánát ja nuorat ieža eai 	ádde 	ahte lea válddálašvuohta , muhto dat dat lea . ¶
– Issorasamus lea go ieš in 	ádde 	sámegiela nu bures . ¶
Dasa lassin eai 	ádde 	mo Sámi kulturráđđi , mii lea juolludan ruđa , lea árvvoštallan sin . ¶
Eaige oahppit leat goassege dadjan ahte eai 	ádde 	jos hálan sámegiela , muitala 8-A oahpaheaddji Jan Henrik Biti . ¶
Skuvlaoabbá Lene Monica Gaino veahkehastá dulkot jos Marianne ii 	ádde 	. ¶
Káre lohká mánnái maiddái leamaš lossadin ášši , go ii áibbas 	ádde 	manne sii šaddet iežaset vuoigatvuođaid alde doarrut . ¶
Arnakke ii beasa ovdánit dán birrasis ja 	ádde 	ahte lea bággu vuolgit eret . ¶
Ii olmmoš vuos dalán 	ádde 	, iige dohket alcces diekkáraš sága . ¶
Son 	ádde 	manne olbmot suhttet go dákkár cealkámušat bohtet albmosii sápmelaččaid vuostá . ¶
Su láhtten cuiggoduvvo , eai 	ádde 	ahte lea huikimin veahki . ¶
Vuogádat ii 	ádde 	sámegiela ¶
Sivvan dasa lea go álbmotregistara vuogádat , mas čálihat riegádahttinduođaštusaid , ii 	ádde 	Norgga álgoálbmoga giela . ¶
BB PRESIDEANTA : Egil Olli ii 	ádde 	gáimmis moaitámušaid . ¶
Sátnejođiheaddji Kjell Sæther 	ádde 	psykologahoavdda ákkaid , muhto lohká iežaset fertet smiehtat ollislaččat dili birra masa boazodoallu lea boahtán . ¶
Kristtalaš Álbmotbellodaga gielddastivraáirras Stig Arne Somby ( 22 ) ii riekta 	ádde 	mii lea ulbmil sátnejođiheaddjis , Kjell Sætheris , go garra dáhpáhusaid geassá ovdan boazodoalloheahtái . ¶
Son 	ádde 	bures nuoraid go lohket ahte dávjá ii leat miella vuolgit šat skuvlii dáid šláddarit dihte . ¶
spáppa čiekčat , ja dalle leat mii , boahtteáigge ollesolbmot , geat galgat geahččalit oahpahit min mánáid dán valáštallan suorgi mas mii eat 	ádde 	maidege go áigguimet leat nu iešheanalaččat . ¶
Inge 	ádde 	goas ja gii lea mearridan ahte sámegielat aviissat galget bálvalit olles sámi álbmoga Norggas ? ¶
Inge 	ádde 	goas lea gii mearridan ahte sámegielat aviissat galget bálvalit olles sámi álbmoga Norggas ? ¶
