Veadjá leat nu , ahte olles ásahusas galgá vuhttot sámiid diliid 	ádden 	ja gudnejahttin . ¶
– Lean 	ádden 	, ahte seamma vuogádat lea Sámedikkis , diehtá Wilson . ¶
Mun 	ádden 	mearrádusa ealáhusaid bealis , muhte go Norgga eiseválddit leat gárrasit gáhttemin luondduluosa ja ráhkadan johkanjálmmiide ja vuonaide suodjalusbiiriid , de mearrádus orru mu mielas hui ártet . ¶
Bivden dalle ráhkkanahttit dán , muhto eai beroštan ja 	ádden 	dan dalle . ¶
Vai leago baicce nu , ahte luonddugáhttenberoštumit dás lea 	ádden 	áibbas boastut ja vikkahit gávpotmáilmme árvvuid bahkkehit uhca álbmogačča ala ? ¶
Sus lea dan muttos unnán áddejupmi sámi kultuvrii , ahte ii dange leat 	ádden 	ahte guovtte jahkásaš mánná ii máhte lohkat , danne ii ábut tekstet filmmaid mat leat jurddašuvvon smávvamánáide . ¶
Máŋgii lea geavvan boastut , sámegielat olbmot leat heađis riŋgen , ja telefonvástideaddji ii leat sánige 	ádden 	dahje lea boastut ádden . ¶
Máŋgii lea geavvan boastut , sámegielat olbmot leat heađis riŋgen , ja telefonvástideaddji ii leat sánige ádden dahje lea boastut 	ádden 	. ¶
Dat geat dáid čiekčamiid vuosttaš 45 minuhta leat 	ádden 	videofilbmet , sii eai dárbbaš gal šat ballat , ahte eai fidne nahkáriid : Jus mihkkege eará ii ábut , dalle sáhttá geahččat dán videobátti . ¶
– Bataljona mii lea leamaš guovllus ii leat 	ádden 	min sárgon kártta . ¶
Bataljona ii 	ádden 	kártta ¶
– Bataljona mii lea leamaš guovllus ii leat 	ádden 	min sárgon kártta . ¶
Lean 	ádden 	, ahte prošeavtta jođiheaddji oaivvilda ahte okta sivain fárremis lei ruhtadilli . ¶
– Muhto dál 	ádden 	manne leat nu ollu áššit báhcán bealledágus gieldda ossodagain go politihkkárat eai boađe čoahkkimiidda , eaige bearráigeahča barggu . ¶
Lei somás mátki earret go ahte suoma bussevuoddji ii 	ádden 	ahte gaskkahagaid lei busse dego sávdnji . ¶
Eai sii 	ádden 	ahte mii leat gergosat čađahit stuorra sosiála revolušuvnna Mexicos ja guovllu eará riikkainge . ¶
–<\q>Mun gal 	ádden 	bures Magnhilda ja earáid geat dáppe orrot , Sæther álggaha . ¶
Gaskavahku čilgii Stangnes NRK Sámi Radioi ahte ii lean 	ádden 	ahte galggai lean sápmelaš go lea sámi riikkajoavkkus . ¶
– Nu go lean 	ádden 	ášši de eai leat eavttut galgat leat sápmelažžan . ¶
Lean 	ádden 	sin dan lahkái ahte dát lea doarvái beassat mielde . ¶
Dát ii baldán gal mu , muhto 	ádden 	bures ahte dát balddii moaddelot vuorraset olbmuid olggus girkus gasku konseartta . ¶
Geahččalan dahkat ahte mun juobaje 	ádden 	muhtinláhkai luođi tittela . ¶
– Muhtun ovdaságaid áššiin in 	ádden 	maidige , lohká sámegiela studeanta Marko Marjomaa . ¶
Eai dat 	ádden 	eambbo . ¶
Mii eat leat 	ádden 	Sámeráđi rolla boastut , muhto min oainnu mielde Sámeráđđi ii maiddái sáhte leat orgána , gos smávva verddejovkkoš dahká mearrádusaid . ¶
– 	Ádden 	gal movt galgá , dajai son . ¶
Hánsa lohká iežas dego 	ádden 	juo dalle , ahte go boarásmuvvá , de leat sus várra ain návccat bargat juoga . ¶
Muhto 	ádden 	ahte olbmot eai viša dáhttut dulkka go dihtet dilis , lohká Anu Avaskari . ¶
Ovtta dattetge 	ádden 	. ¶
Ná galggai mannat , ja vaikko livččiimetge árat diehtán jearahallat ovdaolbmoevttohasa , de eai livčče 	ádden 	go bures dovddus ja sajáiduvvon politihkkáriid gaskkas jearahit . ¶
In 	ádden 	mo válljet mii áviisii galgá leat , man ollu čáhká siidui , mo govaid dasa mearridit , mo gávnnahit mii galgá leat vuosttas siiddus jna. . ¶
Ollugat jerret mas eretfárren sáhttá boahtit ja mo dan eastadit , ja dađi mielde go lean 	ádden 	, de lea ráđđehus ja stuorradiggi mielas geavahit ruđa prošeavttaide ja nuppástusaide mat jorggehit dili . ¶
	Ádden 	, ahte eai hálit johtit beassášvahku , muhto liikká lea váidalahtti go Beaivváš ii sáhte boahtit . ¶
Dát bihtá doaibmá , vuosttažettiin go doaimmahus lea 	ádden 	muddet dan . ¶
Olbmot , geat ledje 	ádden 	coggat albma bivuid , návddašedje Mari Boine konseartta . ¶
In muitte justa maid almmái dajai munnje , go mun in 	ádden 	maidige das maid son hálai , muhto oabbán gal dagai . ¶
- Dalle gal ledjen áibbas boastut 	ádden 	. ¶
Máŋga fránskkagielalačča birra máilmmi leat 	ádden 	boasttuvuođa ja heaitán geavaheamis « droits de l « Homme » . ¶
Jođiheaddjit bivde riikkaidgaskasaš veahki lasihit eamiálbmogiid čehppodatdási , 	ádden 	dihte mo birasnuoskkideapmi ja biebmonuppástusat čuhcet olbmuide ja elliide . ¶
Dan gal 	ádden 	bures , muitala Polmak Gjestegård doalli Ester Utsi . ¶
– In jáhke gieldda leat 	ádden 	man stuorra márkanat stadioncrossa lea . ¶
	Ádden 	ahte mu buoremus beassášbeaivi nogai dien uhca romis muohtabáru lusa dás moaddelot mehtera maŋábeallái gosa dál lean bissánan . ¶
Sii leat 	ádden 	ahte gilvalančehppodagas boahtteáiggis lea IT-ovddideapmi dehálaš , dajai Gates malaysalaš ealáhussii . ¶
Sáhtán muitalit dutnje Lilletun ahte ledjen gáfat čeahppi lohkat dárogiela skuvllas , muhto in 	ádden 	in buollán sánige . ¶
In 	ádden 	maidege firpmiin gal . ¶
– 	Ádden 	gal bures ahte álo ii leat nu álki čuovvut buot min « bargonjuolggadusaid » , ja ahte muhtumin fertet njielastit dan maid oažžut . ¶
Bargit leat 	ádden 	mo fertet birget áibbas unnán resurssain . ¶
Dán lea Sámedikki sadjásaš presideanta ja NSR:a ovddasteaddji Ragnhild Nystad 	ádden 	. ¶
	Ádden 	gal ahte čálli iešdovdui dahká buori gullat iežas divttaid earáge gillii go duššebeare su eatnigillii . ¶
Mun 	ádden 	dál ahte buohkat leat go ožžon dus sin « oasi » sihke politihkkárat , organisašuvnnat , eaŋkal olbmot ja nu ain . ¶
Jus leat 	ádden 	riekta , suomabeali bargit geat orrot ja barget Suomas , eai mávsse oadjodivada daningo bargoaddit mákset dan bargiideaset ovddas . ¶
– Mun in leat vel geargan , leango mun dál 	ádden 	dán ášši riekta , Aslak Niittyvuopio . ¶
– Sii leat 	ádden 	ahte mađe eanet bijat ruđa dađe buoret dinenvejolašvuohta das lea . ¶
Várra ledje nu ollu báhpárat ahte muhtimat eai 	ádden 	maid sii mearridedje ? ¶
Eat 	ádden 	maid boasttu mii leimmet bargan , go ráŋggaštuvaimet nu garrasit , šuohkiha Murray . ¶
– 	Ádden 	váhnemiid . ¶
Linjjáid gaskkas maid dovdo ahte sátnejođiheaddji Anton Dahl iige leat 	ádden 	man vuđolaččat lea dájuhuvvon , go sávvá bures boahtima lágideapmái mii duođai geasuha dan mađe vuovdima ja eallima su suohkanii , ja ahte son diehtemeahttunvuođas gudnejahttá soames gáddálasa , geat valástallama namas ná unohasat láhttejit . ¶
– Vaikko in mange láhkai doarjjo veahkaválddálašvuođa , de muhtinláhkai 	ádden 	ahte olbmot hálidivčče suodjalit eatnamiiddiset , lohká Eira . ¶
- Sii ohppe gal bustávaid , muhto eai 	ádden 	maid lohke , muittaša Margarethe Wiig . ¶
	Ádden 	ahte suohtastallan eará mediain , NRK Sámi Radioin , sáhttá leat somá . ¶
Bártni eadni lea Finnmark Dagbladii muitalan ahte olmmái ii lean háleštan bahádahkkin árat eahkedis , ja ahte ii 	ádden 	maidige go fáhkkestaga njuikii okta olmmái biillas olggos , niibi gieđas , ja čuggii kárášjotgándda . ¶
– 	Ádden 	go nuorat vuollánit dákkár áššiin , muhto bivddán sin ipmirdit ahte mearrádusat leat dahkkon min váikkuheami haga , lohká Kjell Sæther . ¶
Sii leat 	ádden 	ahte lea olles álbmoga eallinvuođu ja birgenvejolašvuođaid birra sáhka , iige dušše gii galgá beassat lubmet ja goas . ¶
Dađe bahát , jus juo leat riekta dan moivvis 	ádden 	, de lea Finnmárkku Bargiidbellodat maid dadjan ahte galgá leat Finnmárkku eanahálddašeapmi masa fylkkas nammadit vihtta ja Sámedikkis guokte áirasa . ¶
– 	Ádden 	sámegiela veaháš , muhto hállan lea nuo ja ná . ¶
– Sii han soitet leat 	ádden 	, ahte ii ábut vuostálastit . ¶
Tiina ja Nea lohkaba iežaska 	ádden 	visot . ¶
– Orru leamen nu ahte justisministtar duođaid lea 	ádden 	man stuorisin dát váttisvuohta lea šaddan , illuda Vera Lysklætt guhte doaivu eiseválddiid johtilit álggahit doaimmaid . ¶
– 	Ádden 	mii lei duogábealde . ¶
Muhto mu mielas lei nu váttis go isit ii 	ádden 	. ¶
Danin leat álo eanaš Ruŋggu mánát ja nuorat unnán dahje eanet 	ádden 	sámegiela . ¶
Ean 	ádden 	su álggus albmaláhkai , danin go lei nu alla musihkka ja riedja . ¶
« Dál leat don vissa viehka boastut 	ádden 	» , Elle Risten dieđihii . ¶
Elle Risten lohká ahte livččii eanebu 	ádden 	dán fálaldagas , jos sudnos livččii earálágan biktasat . ¶
– Livččen veaháš 	ádden 	jos munnos livčče « minišørta » ja oanehis « tohppa » , ja dasa lassin badjelmearálaččat vuoidán iežame . ¶
– Go gieldda politihkkárat leat dán 	ádden 	, de sáhttá bargagoahtit áŋgireabbon Sámi servodaga ektui . ¶
– Mánnáhan ii 	ádden 	, ahte ahte áhčči ii šat boađášii min geahčái . ¶
Sámi media- ja dutkanbirrasat leat goit 	ádden 	Sámedikki mearrádusa nu ahte Sámediggi ii ane sámi dutkanbirrasiid leat sorjjasmeahttumin ja gelbbolažžan dahkat dákkár barggud . ¶
Sámi media- ja dutkanbirrasat leat goit 	ádden 	Sámedikki mearrádusa nu ahte Sámediggi ii ane sámi dutkanbirrasiid leat sorjjasmeahttumin ja gelbbolažžan dahkat dákkár barggud . ¶
Dađe mielde go lean 	ádden 	NSR:a otnáš njunnošiid , go lean njuolgga jearran sihke presideanttas ja stivraovdaolbmos , de lea organisašuvnna oaivil ain dat ahte sámi servodaga ásahusat // organisašuvnnat , eai ge dáža , galget oamastit ja stivret sámi aviissaid . ¶
Dan eat 	ádden 	mii gal , ii bat juovlabeavddis leat lohpi bargat maid áigu ? ¶
	Ádden 	buohkaid geat háliidit eanet bálkká , muhto mii fertet álo geahččat áššiid realistalaččat . ¶
Dat šohkka , go gulat , dagai ahte in 	ádden 	ahte lea duohta . ¶
	Ádden 	sin bures , muhto ii álo dárbbaš sániid , dušše dollestit oalgái . ¶
– Diekku manai veahá boastut , nugo mun lean 	ádden 	, mieđiha Soleng gii lea váidon rihkkun bargo ovddasvástádusa . ¶
– De 	ádden 	gal bures , muhto dán birra son lea galgan juo diehtit go osttii dálu . ¶
Muhto 	ádden 	gal maid ahte sámegielas ja dárogielas leat erohusat go galgá govvet juoidá . ¶
– Dát gal ferte leat leamaš buvttadeaddji gii ii leat 	ádden 	mii Intrigue lea . ¶
— 	Ádden 	bures manne láhka lea ráhkaduvvon nie go lea . ¶
– Eai 	ádden 	kritihkkárat maidige šamanismmas ja árktalaš jurddašanvuogis , oaivvilda Pedersen . ¶
	Ádden 	bures , lohká Green ja mieđiha ahte lea suddu go guokte stuora banda leat dieđihan jávkama . ¶
Vaikko vel olbmot eai 	ádden 	giela , de sii liikojedje čájáhussii . ¶
Nie galgá ge luohti leat , ja dan lea Inga Juuso 	ádden 	bures , go olbmot sihke dážat ja sápmelaččat speažžu issorasat . ¶
Intrigue lea 	ádden 	ja fuobmán ahte ii ábut dušše máhttit čuojahit , lávlut ja juoigat buori rock-luđiid . ¶
– Mon 	ádden 	ahte isidis lea našunálabeaivi , ja dat lea buorre , juohke našuvnnas galgá leat dákkár beaivi , mis sápmelaččain lea maid Sámeálbmot beaivi , guovvamánu 6. beaivvi . ¶
– Jos leaš nu ahte sámegiella oalát galgá jávkat sihke čálalaččat ja njálmmálaččat mediain , de mon 	ádden 	sámediggeáirasa Johansena . ¶
– Mon 	ádden 	sátnejođiheaddji Sæthera ja eará gielddaid jođiheaddjiid , go áiggošedje háhkat eanet dárbbašuvvon bargosajiid iežaset gielddaide , lohká Nystø . ¶
Jo , 	ádden 	dieđusge ahte sámediggepolitihkkárat eai leat ožžon dán lágan válddi ; nu ahte lea vejolaš ásahit albma iešmearrideami buot servvodat surggiin . ¶
– Anán gildosa vahágin , muhto 	ádden 	bures go leat gieldán herggiid buktimis rastá riikarájiid . ¶
Dál lea geavvan maid guođđoheaddjin , máid japanalaš ii várra 	ádden 	goasse jurddašit go vuojána ráhkadii . ¶
– In leat vel albma láhkai 	ádden 	ahte dál lean ožžon alccen doalloovttadaga maid lean gáibidan dan rájes go áhčči heittii bohccuiguin . ¶
Du vuolggasadji lea hui buorre nu guhkás go mun lean 	ádden 	, dovdet bures ambulánsajođiheami ja váttisvuođaid áiggiid čađa . ¶
, de eai leat 	ádden 	maidege . ¶
Čujuhan Ságat aviisii gos birasgáhttenministtar Siri Bjerke lea 	ádden 	ášši , namalassii ahte áidna molssaeaktu mii mis dál lea , lea sierra hálddašeapmi vuođđuduvvon sámi vuoigatvuođaide . ¶
Dađe bahát eai leat sii geat dál ovddastit Finnmárkku Stuorradikkis dan 	ádden 	, eai ge dat ge áirasat geat dál áiggošedje Stuorradiggái , earret Sámeálbmot Bellodat . ¶
	Ádden 	gal bures ahte SVL ii dáhto geatnegahttit iežaset joavkku nissonjienasteadjiid ektui , danin go dássážii leamašan beare almmáiolbmot geat leat ovddidan SVLa politihka Sámedikkis . ¶
– Mun álggos in 	ádden 	mii lei boasttut nieiddažiin . ¶
Son gal ii nu olu beroštan das go ii 	ádden 	buot maid lávlo . ¶
Eat jáhke ahte Finánsadepartemeanta livččii rievdadan njuolggadusaid jos eai livčče 	ádden 	makkár árbeveirut boazodoalus leat . ¶
Mun 	ádden 	ahte muhtumat leat garrasit du viggan deaddit roavva soaibmamiiguin Norgga Sámiid Riikkasearvvi ( NSR ) vuostá . ¶
Dattetge 	ádden 	mas sii ballet . ¶
Iige dáidde 	ádden 	mo dainna dajáldagain dagai iežas bogostahkan . ¶
– Olmot orrot boastut 	ádden 	. ¶
– Vaikko vel mun in boađe čállit nama vuollái , de 	ádden 	bures go olbmot Kárášjogas leat álggahan nammačoaggima Mega dálkkasvuovdima vuostá . ¶
Danne go Iŋger lei nu nuorra ja ii albma láhkai 	ádden 	dagus váikkuhusaid , de lágamánni sáddii su ášši gonagassii Københápmanii ja bivddii árpmihit su . ¶
Doppe gos ii leat nu nanus sámegiella , doppe 	ádden 	ahte njálmmálaš giella lea dehálaš nannet . ¶
- Mii leat 	ádden 	manne áiggun min golbmasa govvet fárrolágaid , dadjala Frank Nilsen . ¶
- Jus oktage lea 	ádden 	mu duolbmume sámi álbmoga , de šallošan . ¶
- Jus lehpet 	ádden 	ahte mun áiggun sámegiela áibbas jávkadit skuvllas , de lea dat boastut . ¶
Muhtimat leat maid 	ádden 	min nu ahte ii oktage galgga beassat sámástit , šuohkeha Dagsrevyen hoavda Anette Groth . ¶
– Muhto nu go mon lean 	ádden 	, de gielddabeales plánejit menddostuorrát ja divrasiin . ¶
– 	Ádden 	ahte nealgudeami leat vákšon , dat han norgga lága mielde lea láhkarihkkon . ¶
Ii 	ádden 	dárogiela ¶
Vaikke buot paragráfain ii sániid áddenge , de nuhan dat mánnánge lei , jos it 	ádden 	, de dovdat gal liikká gártet . ¶
Mii leimmet 	ádden 	ahte juohke distánsas oččot leat mielde njealjjis , muhto AGW njuolggadusaid mielde sáhttá váldit dušše njealjje oasseváldi guđe ge ahkejoavkkus , čilge Balto . ¶
Eanetlohku ággá lei ahte ILO gieđahallá 2000 raporta , ja ON lei 	ádden 	boastut vuosttaš raporteremis ahte olles Sámedikki hilgu Finnmárkolága evttohusa . ¶
	Ádden 	ahte sáhttet šattat váttisin jus leat beare ollu gávppogis , muhto oalát ii galggaše jávkkadit , lohkaba turistta guovttos . ¶
ÒMun 	ádden 	manne mášggasiidda lea váttis dohkkehit juoigama , Ò muitalii boares juoigi munnje oktii , ja jurddašii iežas mánnávuođa áiggi birra : ÒNu mášggas juige go ledje juhkaluvvan , ja sii snulle ja juge fasttit earáid birra . ¶
Das lea reportar 	ádden 	Skådena boastut ja čállán ahte su váhnemat eaba leat šat eallime . ¶
- Leat 	ádden 	ahte ollusat eai leat duhtavaččat dálá diliin . ¶
- 	Ádden 	ahte muhtimiid mielas lea prinsihppaášši , muhto in ádde ahte ná garra riiddu lea álggahan . ¶
Muhtun láhkai gal 	ádden 	bures ahte bohccot ja bohccobaikkat váivvidit gávpotolbmuid . ¶
Dál mun 	ádden 	buorebut . ¶
Eaige buohkat 	ádden 	dahje beroštan min rahčamušain . ¶
Eaige eiseváldit 	ádden 	munno leat duođas ovdalgo streikeime . ¶
– Easkka maŋŋá lean 	ádden 	man dehálaš sin rahčamuš lea leamaš . ¶
Min Áigái son dovddasta ahte su politihkár áigodagas ii leat Hammerfeastta gávpotstivrra goassige 	ádden 	ahte boazodoalus livčče vejolašvuohta ovdánahttit Hammerfeastta gieldda . ¶
Ieš gal 	ádden 	bures SáB:a ulbmiliid . ¶
– Dađibahábut ledjen stivrramearrádusa boastut 	ádden 	. ¶
Vaikke buot paragraffain ii sániid áddenge , de nuhan dat mánnánge lei , jos it 	ádden 	, de dovdat gal liikká gártet . ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	ádden 	oaivila . ¶
Ii , dan gal 	ádden 	bures ! ¶
Ii , dan gal 	ádden 	bures ! ¶
Maiddái stáhta lea maŋimuš áiggiid áddegoahtán Ohcejoga dili , namalassii 	ádden 	, ahte lea váigat ja divrras fállat bálvalusaid gieldala aide guhkes mátkkiid geažil , KotimŠki dadjá . ¶
Doppe gos ii leat nu nanus sámegiella , doppe 	ádden 	ahte njálmmálaš giela lea dehálaš nannet . ¶
“ Mun 	ádden 	manne máŋgasiidda lea váttis dohkkehit juoigama , “ muitalii boares juoigi munnje oktii , ja jurddašii iežas mánnávuođa áiggi birra : “ Nu máŋggas juige go ledje juhkaluvvan , ja sii snulle ja juige fasttit earáid birra . ¶
Go moaittán Sven-Roald Nystø ođđajagisártni , mas presideanta bidjá gažaldaga leago riekta jorgalit dárogielat dokumeanttaid sámegillii , de NSR jođiheaddji Keskitalo oalat moivváska ja čuoččuha mun in leat 	ádden 	presideantta sártni . ¶
– Dađibahábut ledjen stivrramearrádusa boastut 	ádden 	. ¶
* Veaháš fuones sátnegeavaheapmi diet ” gieđahallat dego gonagasa ” Alex , eandalit dál go Norgga gonagas aiddo lea čuohpaduvvon , muhto gal mun 	ádden 	oaivila . ¶
Maiddái stáhta lea maŋimuš áiggiid áddegoahtán Ohcejoga dili , namalassii 	ádden 	, ahte lea váigat ja divrras fállat bálvalusaid gieldalaččaide guhkes mátkkiid geažil , KotimŠki dadjá . ¶
Dál duostaba hállat sámegiela , vaikko agibeaivvi leaba 	ádden 	buot . ¶
– Viimmat leat eiseválddit 	ádden 	leat dárbbu sierra diehtojoahkinkampanjii , lohká Davvi Nuora jođiheaddji Christina Henriksen . ¶
Ja dii gal ehpet leat 	ádden 	baikkage . ¶
Soaitá mun easka dalle 	ádden 	go dohko boađán mii dat lea . ¶
– Mun 	ádden 	Johan Mihkkala bures . ¶
Jos lean riekta 	ádden 	, de Sámi servodaga mihttomearrin lea ain gáhttet ja ovddidit sámegiela . ¶
– Muhto jus gieldda mearrádus čuohcá nu garrasit ahte dat oalát bilida meahcástankultuvra , de 	ádden 	bures jus Viktor Trosten « nødvergeparagrafa ” , lohká Biti Pedersen . ¶
Trosten moittii ášši Siviliáittardeaddjái , danne go oaivvildii ahte ii guovllustivra iige gielda leat 	ádden 	boazodoallolága njuolga , ja ahte Deanu gielda ii leat ollásit su ohcamuša meannudan . ¶
– Mun 	ádden 	jus Kárášjoga boazodoallit jurddašit dainnalágiin ahte bonusiid dihte lea eanemus gánnihahtti cegget eanemus lági mielde bohccuid , muhto válljen jáhkkit ahte boazodoallit eai cegge eambbo bohccuid go dan maid eatnamat guddet , lohká Johan Ingavald Hætta . ¶
- Mii leat 	ádden 	ahte dása leat čadnon riiddut . ¶
- Nugo mii leat 	ádden 	, de lea boazodoallu dohkkehan evttohusa gokko máđi galggašii leat , vástidii Henriksen . ¶
Olmmái guhte galggai lean aiddo hávkamin , lei siste viesus iige 	ádden 	mii dáhpáhuvai . ¶
– Justisdepartameanta ii leat 	ádden 	ášši , lohká Graver NRK Sámi Radioi . ¶
Dološ sápmelaš han ii livčče 	ádden 	maidege dálá olbmuid háleštallamis . ¶
– Ministtar ii leat riekta 	ádden 	mii Sámi parlamentáralaš ráđđi lea . ¶
Lohken Min Áiggi ođđasiid geatkkiid goddimis , muhto in gal 	ádden 	mii lea dat ¶
– Son gal ferte leat 	ádden 	boastut . ¶
– 	Ádden 	ahte dát sáhttá suhttadit . ¶
Liikká 	ádden 	bures manne Ole Henrik Magga ja eará sámi njunušolbmot dál rogget dán ášši bajás . ¶
Lea oalle heahpat gildii go eai leat vel 	ádden 	mákkár geatnegasvuohta ja ovddasvástádus gielddas lea ollašuhttit giellalága ulbmiliid . ¶
– 	Ádden 	ahte bohccidit gažaldagat gosa ruđat mannet . ¶
- Mun lean 	ádden 	ahte dát ruđat leat oassin gieldda sisaboađus . ¶
- Dá ii leat dohkálaš vuohki mo ovddidit áššiid Sámediggái , muhto 	ádden 	gal ahte sii ledje gáržžohaddan nu sakka ahte ii lean eará vejolašvuohta , ná lohká Sámedikki čoahkkinjođiheaddji Josef Vedhugnes dasa go oahppováillat olbmot gaskavahku kuppejedje dahje rivvejedje Sámedikki sárdnestuolu . ¶
– Muhto 	ádden 	go eai loga diehtán njuolggadusaid , muhto ii leat olmmoš vierru rivvet sárdnestuolu . ¶
	Ádden 	dáid olbmuid , go lean dovdan dan iežas rupmašis . ¶
- Dá ii leat dohkkálaš vuohkki mo ovddidit áššiid Sámediggái , muhto 	ádden 	gal ahte sii ledje gáržžohaddan nu sakka ahte ii lean eará vejolašvuohta , ná lohká Sámedikke čoahkkinjođiheaddji Josef Vedhugnes dasa go oahppováillat olbmot gaskavahkku kuppejedje Sámedikki sárdnestuolu . ¶
	Ádden 	ahte dál hálida veahá ráfi ja jaskatvuođa . ¶
In 	ádden 	maidege . ¶
– Luoddageažis ii leat eará okta dállu , muhto eat leat goasse ge 	ádden 	manne dát luodda galggai vári badjel mannat . ¶
– Mun 	ádden 	bures ahte muhtun riikajoavkohárjeheaddji háliida buoremus vejolaš joavkku . ¶
Fylkkasátnejođiheaddji Helga Pedersen jáhkká ahte bivdiid searvi lea oalát boastut 	ádden 	ášši . ¶
Livččen 	ádden 	jus livččii árvalan časkit oktii Davvi-Romssa ja Finnmárkku fylkkagieldda . ¶
Dán girjji geavahat veahkkin dárkkistit bargguid dahje iskat leatgo 	ádden 	bargobihtá . ¶
– Dattege 	ádden 	bures manne sii hálidit fárret , ja áiggun ságastallat ášši stivrain dán vahkus . ¶
Bivdi logai iežas 	ádden 	nu ahte lea leamaš gižžu gos maiddái hávlár lei geavahuvvon , ja ahte skuohtta lei bávkkihan dáhpedorpmis . ¶
Leat maiddái leamaš doaktárat geat eai leat 	ádden 	dárogiela , eaige sámegiela , logai Máret Sára interpellašuvnnas . ¶
Dál leat olu olbmot máilmmis geat leat 	ádden 	man dehálaš lea beroštit buot eatnama olbmuin . ¶
Nu go mun lean 	ádden 	Ole Heandarat Magga cealkámušaid , de das leat guokte beali : ¶
Boastut 	ádden 	Aikio ¶
Gjengseth jáhkká ahte sámi servodat dan áigge ja maiddái maŋit áiggis lea boastut 	ádden 	Aikio áigumušaid sámiid ektui . ¶
– Muhto mun 	ádden 	Matti Aikio áigumušaid . ¶
Dien muddui mun 	ádden 	su barggu . ¶
- Nugo mun lean 	ádden 	, de lea easka dál čielggas geat sáhtáše leat vejolaš evttohasat NSR bealis , dan bottas go bargiidbellodagas leat jo golbma evttohasa . ¶
– Dađi bahát eai leat mis ruđat dasa , muhto mun 	ádden 	Olli čuoččuhusaid go boahtte jagi han leat válggat , lohká Pedersen . ¶
– In leat 	ádden 	Sámedikki systema . ¶
– Mun jáhkán ja doaivvun ahte olbmot leat 	ádden 	ahte mun lean viggan bargat sin ovddas . ¶
– Almmáiolbmot eai leat velge 	ádden 	, ahte olbmot eai šat váldde duođas Sámedikki jus eambbo nissonolbmot eai oaččo sihkkaris sajiid . ¶
– Mun 	ádden 	bures olbmuid suhttat go lohket Sámedikki ruhtageavaheami birra aviissain . ¶
– In 	ádden 	maidege go NRK Sámi Radio riŋgii ságastit ášši birra . ¶
ÁITTII : Kárášjohkalaš beakkán niiberávdi Hjalmar Strømeng áittii diibmá heaitit ráhkadeamis gazirdanbuvkkuid ( Niskadanbuiku oarjesuopmanis ) go Norgga eiseválddit ledje 	ádden 	EU-njuolggadusaid dainna lágiin ahte dakkar niibbiin ii leat lohpi bohcco goddit . ¶
Son lea čađat muitalan iežas leat čállinváillagin , juste dakkárin go eanas sápmelaččat leat , go lea sáhka das ahte máhttit čállit sámegiela , ja juolludeaddji eiseválddit leat 	ádden 	dán váttisvuođa . ¶
Sii leat 	ádden 	ahte lea váttis bargat Sámedikkis go olmmoš ii máhte čállit sámegiela . ¶
– Dan mearrádusa mun 	ádden 	hui bures , lohká Lill-Therese . ¶
Mediaid haga eai livčče olbmot 	ádden 	makkár váikkuhusat goarveskávvalis leat . ¶
– 	Ádden 	bures daid válgabiiriid geat vuostálastet addimis jienastanvuoigatvuođaid daid njealljásiidda . ¶
Muhto NBR jođiheaddji Aslak J. Eira lohká Sámi Radioi ahte stáhta ii leat 	ádden 	boazodoallohástalusaid . ¶
Čállosis vuhttui ahte son ii jogo dieđe terrorismma historjjás ja dálá áiggis olus maidige dahje son lea 	ádden 	olles terrorisma-doahpaga hui apmasit dahje lei man nu eará sivas ráddjen ášši guoskat dušše ovddeš Sovjetlihttui ja dálá fundamentalista-muslimaide . ¶
– De 	ádden 	, ja ferten šállošit . ¶
Eat duostan , eatge 	ádden 	gáibidit maidige . ¶
– In 	ádden 	dalle jearrat mearrida go dat lohku doarjagiid mii lea maŋŋel njuovvamiid . ¶
Baicca lea nu , ahte Sámediggi ii velge leat doarvái bures 	ádden 	man dehálaččat sámi valáštallamat leat sámi iešdovdui . ¶
– Muhto mun lean 	ádden 	ahte ollu dálá boazodoalu agronomain leat leamaš hirbmat guhká iežaset virggiin , lohká Forsell . ¶
- Vaikko in 	ádden 	justa mas lei sáhka , de áddejin ahte lei duođalaš ášši , go juo nu máŋggas nissoniin čirro ja lávlo beaktilis sálmmaid . ¶
Mis lea nana jáhkku dasa ahte Sámedikki cealkámuš ja bargu muđui lea okta dain deaŧaleamos ákkain go Stuorradiggi lea 	ádden 	ahte Ráđđehusa evttohus ii sáhte meannuduvvot almmá stuorra rievdadusaid haga . ¶
- Mu áddejumi mielde lea presideanttas seamma oaidnu go Bargiidbellodagas , go lean su 	ádden 	baicca dainna lágiin ahte lágas galgá boahtit ovdan ahte sámiin lea oamastanvuoigatvuohta Finnmárkkus , muhto maiddái earáin jus leat earát geain leat vuoigatvuođat , lohká Egil Olli . ¶
Go eai leat dahkan dan , de dat duođašta ahte eaige sámi politihkárat leat 	ádden 	makkár heahtedilis sámi čáppagirjjálašvuohta duođaid lea . ¶
	Ádden 	gal dieđusge olbmuid geat váidet go mii eat ráhkat prográmmaid sin guovlluin , muhto mis eai leat doarvái bargonávccat . ¶
	Ádden 	bures go eai buohkat liiko dasa . ¶
